entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,asset
2026-05-10 00:00:00+00:00,2026-05-15 00:00:00+00:00,80678.41,81090.0,0.005101612686715027,138765.5213713688,139264.2391417021,0.0035939602676848814,BTC
2022-02-09 00:00:00+00:00,2022-02-18 00:00:00+00:00,3116.69,2891.88,-0.07213101078387646,9985.0,9250.87469953701,-0.07352281426770058,ETH
2022-04-01 00:00:00+00:00,2022-04-06 00:00:00+00:00,3281.51,3407.0,0.0382415412416844,9236.998387487703,9575.850089108777,0.03668417892982179,ETH
2022-07-24 00:00:00+00:00,2022-08-19 00:00:00+00:00,1548.66,1846.39,0.1922500742577454,9561.486313975114,11382.58324369947,0.1904616991463588,ETH
2022-10-29 00:00:00+00:00,2022-11-08 00:00:00+00:00,1554.4,1568.09,0.008807256819351407,11365.50936883392,11448.409916234894,0.007294045934122417,ETH
2022-12-13 00:00:00+00:00,2022-12-16 00:00:00+00:00,1275.41,1266.53,-0.0069624669714053585,11431.237301360543,11334.620217673712,-0.008452023270948295,ETH
2023-01-15 00:00:00+00:00,2023-02-09 00:00:00+00:00,1549.91,1650.42,0.06484892671187359,11317.6182873472,12033.476355687015,0.06325165332180571,ETH
2023-02-17 00:00:00+00:00,2023-02-25 00:00:00+00:00,1637.83,1607.8,-0.01833523625773125,12015.426141153484,11777.42778342194,-0.01980773340334452,ETH
2023-03-13 00:00:00+00:00,2023-03-27 00:00:00+00:00,1580.33,1773.88,0.12247441989964133,11759.761641746807,13180.231579537334,0.12079070826979188,ETH
2023-04-10 00:00:00+00:00,2023-04-21 00:00:00+00:00,1858.91,1942.98,0.04522542780446602,13160.461232168029,13735.015248414671,0.04365758966275912,ETH
2023-06-25 00:00:00+00:00,2023-07-22 00:00:00+00:00,1874.95,1891.73,0.008949571988586348,13714.41272554205,13816.395123236209,0.007436147630603518,ETH
2023-10-25 00:00:00+00:00,2023-11-21 00:00:00+00:00,1784.98,2021.41,0.1324552656052169,13795.670530551355,15599.545265275283,0.13075658270680912,ETH
2023-12-07 00:00:00+00:00,2023-12-17 00:00:00+00:00,2232.7,2228.96,-0.0016751018945670184,15576.14594737737,15526.729234317181,-0.0031725892417250323,ETH
2024-02-12 00:00:00+00:00,2024-03-16 00:00:00+00:00,2507.22,3742.19,0.4925654709199832,15503.439140465705,23105.188094656143,0.4903266227136034,ETH
2024-09-27 00:00:00+00:00,2024-10-01 00:00:00+00:00,2632.25,2602.24,-0.011400892772343135,23070.53031251416,22773.294411714767,-0.012883791433184522,ETH
2025-07-14 00:00:00+00:00,2025-08-01 00:00:00+00:00,2972.03,3698.39,0.24439860970447796,22739.134470097197,28254.102499491415,0.24253201178992123,ETH
2026-04-17 00:00:00+00:00,2026-04-29 00:00:00+00:00,2348.16,2289.42,-0.025015331152902606,28211.72134574218,27464.7368001942,-0.026477808156173177,ETH
2022-03-30 00:00:00+00:00,2022-04-08 00:00:00+00:00,111.62,118.47,0.06136893029922948,9985.0,10581.87211588425,0.05977687690378075,SOL
2022-07-18 00:00:00+00:00,2022-07-25 00:00:00+00:00,38.61,40.93,0.0600880600880601,10565.999307710425,11184.088374439027,0.05849792799792808,SOL
2022-09-12 00:00:00+00:00,2022-09-18 00:00:00+00:00,34.99,33.69,-0.037153472420691745,11167.31224187737,10736.279202763797,-0.03859774221206069,SOL
2022-10-30 00:00:00+00:00,2022-11-07 00:00:00+00:00,32.87,32.61,-0.007909948281107334,10720.174783959652,10619.425687720319,-0.009398083358685638,SOL
2023-01-09 00:00:00+00:00,2023-02-05 00:00:00+00:00,14.46,24.34,0.6832641770401106,10603.49654918874,17821.71316377891,0.6807392807745505,SOL
2023-05-30 00:00:00+00:00,2023-06-07 00:00:00+00:00,20.57,20.38,-0.009236752552260636,17794.98059403324,17604.166842471455,-0.010722897423432243,SOL
2023-07-06 00:00:00+00:00,2023-07-24 00:00:00+00:00,18.99,24.76,0.3038441284886784,17577.76059220775,22884.281950219553,0.3018883622959454,SOL
2023-09-20 00:00:00+00:00,2023-10-11 00:00:00+00:00,20.02,22.11,0.10439560439560439,22849.955527294223,25197.53735931132,0.10273901098901117,SOL
2023-10-25 00:00:00+00:00,2024-01-03 00:00:00+00:00,30.18,106.72,2.5361166335321403,25159.741053272355,88834.32716558708,2.5308124585818423,SOL
2024-03-07 00:00:00+00:00,2024-04-05 00:00:00+00:00,130.8,184.0,0.40672782874617724,88701.0756748387,124591.10418412894,0.4046177370030579,SOL
