rebalance_date,entry_date,exit_date,n_long,n_short,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2023-11-30 00:00:00+00:00,2023-12-01 00:00:00+00:00,2023-12-08 00:00:00+00:00,10,10,-0.058468170009726636,0.1,6.33536178196334,21117.872606544464,19876.81387895931,-1241.058727585154
2023-12-07 00:00:00+00:00,2023-12-08 00:00:00+00:00,2023-12-15 00:00:00+00:00,10,10,-0.10896577837378796,0.15,8.94456624553169,19876.81387895931,17701.976816802064,-2174.8370621572467
2023-12-14 00:00:00+00:00,2023-12-15 00:00:00+00:00,2023-12-22 00:00:00+00:00,10,10,-0.013258565634685329,0.1,5.310593045040619,17701.976816802064,17461.963402267775,-240.01341453428904
2023-12-21 00:00:00+00:00,2023-12-22 00:00:00+00:00,2023-12-29 00:00:00+00:00,11,11,0.05083353254919411,0.22727272727272724,11.905884137909846,17461.963402267775,18337.710803111884,875.7474008441095
2023-12-28 00:00:00+00:00,2023-12-29 00:00:00+00:00,2024-01-05 00:00:00+00:00,11,11,-0.022800757568300776,0.09090909090909091,5.001193855394151,18337.710803111884,17914.595910877124,-423.1148922347602
2024-01-04 00:00:00+00:00,2024-01-05 00:00:00+00:00,2024-01-12 00:00:00+00:00,11,11,0.017850507920232954,0.13636363636363638,7.3286983271770065,17914.595910877124,18227.05184874483,312.4559378677077
2024-01-11 00:00:00+00:00,2024-01-12 00:00:00+00:00,2024-01-19 00:00:00+00:00,11,11,0.012565478756503294,0.22727272727272732,12.427535351416935,18227.05184874483,18443.655946192503,216.60409744767094
2024-01-18 00:00:00+00:00,2024-01-19 00:00:00+00:00,2024-01-26 00:00:00+00:00,11,11,0.0195601154723776,0.09090909090909091,5.030087985325228,18443.655946192503,18799.38589824751,355.72995205500774
2024-01-25 00:00:00+00:00,2024-01-26 00:00:00+00:00,2024-02-02 00:00:00+00:00,11,11,-0.010114612823977395,0.13636363636363638,7.690657867464893,18799.38589824751,18601.54673069073,-197.83916755678
2024-02-01 00:00:00+00:00,2024-02-02 00:00:00+00:00,2024-02-09 00:00:00+00:00,11,11,-0.0020538172015511203,0.045454545454545456,2.5365745541851,18601.54673069073,18560.805979485594,-40.74075120513589
