date,nasdaq,sma200_prior,risk_on_signal_close,risk_on_actionable
1996-08-26 00:00:00+00:00,1139.22,1111.6358,True,True
1996-08-27 00:00:00+00:00,1149.02,1112.0039499999998,True,True
1996-08-28 00:00:00+00:00,1153.88,1112.4297,True,True
1996-08-29 00:00:00+00:00,1145.03,1112.9068,True,True
1996-08-30 00:00:00+00:00,1141.5,1113.42885,True,True
1996-09-03 00:00:00+00:00,1142.29,1113.9271,True,True
1996-09-04 00:00:00+00:00,1143.82,1114.41615,True,True
1996-09-05 00:00:00+00:00,1125.66,1114.9101,True,True
1996-09-06 00:00:00+00:00,1139.39,1115.39105,True,True
1996-09-09 00:00:00+00:00,1148.71,1115.9630499999998,True,True
1996-09-10 00:00:00+00:00,1149.43,1116.6004,True,True
1996-09-11 00:00:00+00:00,1153.95,1117.1967,True,True
1996-09-12 00:00:00+00:00,1165.81,1117.81985,True,True
1996-09-13 00:00:00+00:00,1188.67,1118.39865,True,True
1996-09-16 00:00:00+00:00,1193.96,1119.05415,True,True
1996-09-17 00:00:00+00:00,1203.31,1119.72795,True,True
1996-09-18 00:00:00+00:00,1205.71,1120.4679500000002,True,True
1996-09-19 00:00:00+00:00,1212.09,1121.1475500000001,True,True
1996-09-20 00:00:00+00:00,1219.69,1121.87855,True,True
1996-09-23 00:00:00+00:00,1211.47,1122.6683500000001,True,True
1996-09-24 00:00:00+00:00,1215.27,1123.45985,True,True
1996-09-25 00:00:00+00:00,1224.66,1124.22415,True,True
1996-09-26 00:00:00+00:00,1227.98,1125.0399499999999,True,True
1996-09-27 00:00:00+00:00,1230.05,1125.9195000000002,True,True
1996-09-30 00:00:00+00:00,1226.92,1126.78705,True,True
1996-10-01 00:00:00+00:00,1221.51,1127.7307,True,True
1996-10-02 00:00:00+00:00,1236.11,1128.6858499999998,True,True
1996-10-03 00:00:00+00:00,1233.09,1129.8536,True,True
1996-10-04 00:00:00+00:00,1247.56,1130.887,True,True
1996-10-07 00:00:00+00:00,1250.87,1131.99845,True,True
1996-10-08 00:00:00+00:00,1240.15,1133.0495999999998,True,True
1996-10-09 00:00:00+00:00,1237.98,1134.0158999999999,True,True
1996-10-10 00:00:00+00:00,1236.97,1134.95895,True,True
1996-10-11 00:00:00+00:00,1248.27,1135.90315,True,True
1996-10-14 00:00:00+00:00,1256.36,1136.9334,True,True
1996-10-15 00:00:00+00:00,1258.1,1137.95455,True,True
1996-10-16 00:00:00+00:00,1250.99,1138.9518,True,True
1996-10-17 00:00:00+00:00,1241.96,1139.97545,True,True
1996-10-18 00:00:00+00:00,1242.48,1141.03615,True,True
1996-10-21 00:00:00+00:00,1236.41,1142.0812,True,True
1996-10-22 00:00:00+00:00,1220.0,1143.1014,True,True
1996-10-23 00:00:00+00:00,1227.88,1144.20735,True,True
1996-10-24 00:00:00+00:00,1227.0,1145.3957,True,True
1996-10-25 00:00:00+00:00,1222.6,1146.4752,True,True
1996-10-28 00:00:00+00:00,1215.89,1147.5470500000001,True,True
1996-10-29 00:00:00+00:00,1203.05,1148.68365,True,True
1996-10-30 00:00:00+00:00,1206.23,1149.71955,True,True
1996-10-31 00:00:00+00:00,1221.51,1150.7592,True,True
1996-11-01 00:00:00+00:00,1221.78,1151.8305500000001,True,True
1996-11-04 00:00:00+00:00,1220.48,1152.8472,True,True
1996-11-05 00:00:00+00:00,1229.07,1153.8023999999998,True,True
1996-11-06 00:00:00+00:00,1245.49,1154.80755,True,True
1996-11-07 00:00:00+00:00,1254.14,1155.8176999999998,True,True
1996-11-08 00:00:00+00:00,1257.51,1156.90865,True,True
1996-11-11 00:00:00+00:00,1262.67,1157.9913999999999,True,True
1996-11-12 00:00:00+00:00,1256.53,1159.0922,True,True
1996-11-13 00:00:00+00:00,1260.72,1160.11835,True,True
1996-11-14 00:00:00+00:00,1270.36,1161.123,True,True
1996-11-15 00:00:00+00:00,1261.8,1162.1275,True,True
1996-11-18 00:00:00+00:00,1254.57,1163.07595,True,True
1996-11-19 00:00:00+00:00,1262.62,1163.9321,True,True
1996-11-20 00:00:00+00:00,1264.94,1164.7998,True,True
1996-11-21 00:00:00+00:00,1258.08,1165.7001,True,True
1996-11-22 00:00:00+00:00,1274.36,1166.52465,True,True
1996-11-25 00:00:00+00:00,1280.37,1167.42345,True,True
1996-11-26 00:00:00+00:00,1281.2,1168.3483999999999,True,True
1996-11-27 00:00:00+00:00,1287.32,1169.3183,True,True
1996-11-29 00:00:00+00:00,1292.61,1170.31475,True,True
1996-12-02 00:00:00+00:00,1299.82,1171.3251,True,True
1996-12-03 00:00:00+00:00,1300.37,1172.3706499999998,True,True
1996-12-04 00:00:00+00:00,1297.02,1173.4563,True,True
1996-12-05 00:00:00+00:00,1300.12,1174.45715,True,True
1996-12-06 00:00:00+00:00,1287.68,1175.3722,True,True
1996-12-09 00:00:00+00:00,1316.27,1176.22165,True,True
1996-12-10 00:00:00+00:00,1312.55,1177.23775,True,True
1996-12-11 00:00:00+00:00,1309.12,1178.26965,True,True
1996-12-12 00:00:00+00:00,1298.33,1179.2775,True,True
1996-12-13 00:00:00+00:00,1284.91,1180.2689,True,True
1996-12-16 00:00:00+00:00,1260.98,1181.26305,True,True
1996-12-17 00:00:00+00:00,1266.32,1182.14355,True,True
1996-12-18 00:00:00+00:00,1285.38,1182.9911,True,True
1996-12-19 00:00:00+00:00,1295.86,1183.9589,True,True
