strategy,coin,timeframe,regime,status,periods,total_return,annualized_return,sharpe,max_drawdown,win_rate,profit_factor,total_trades,average_trade_duration_bars,calmar
funding_arbitrage,BTC,8h,Crash/Capitulation,completed_historical_backtest,72,-0.016118351439912804,-0.21909329295120294,-8.598261238365774,0.017512000474137368,0.0,0.0,3.0,3.0,-12.511037404023105
funding_arbitrage,BTC,8h,High Vol Expansion,completed_historical_backtest,54,0.000883582138143435,0.018082990463454962,0.38663878634340487,0.021195000577074796,0.0,0.0,5.0,4.2,0.8531724449686552
funding_arbitrage,BTC,8h,Range/Chop,completed_historical_backtest,3527,-0.11060600042324731,-0.03576065281529228,-2.712298909030832,0.11060600042324731,0.16666666666666666,0.4169668453083571,36.0,4.972222222222222,-0.32331566712881576
dca,ETH,1d,Overall,completed_historical_backtest,3130,7.423941469603067,0.28233480713780423,0.712021937087579,0.7930253453633334,,,100.0,,0.356022425750402
dca,ETH,1d,Bear Trend,completed_historical_backtest,883,-0.6998229746709816,-0.3921184978016782,-0.26127656926577697,0.7649539816376801,,,31.0,,-0.5126040352939882
dca,ETH,1d,Bull Trend,completed_historical_backtest,713,2.567929967099469,0.918613355662635,1.2152644395029775,0.4495493832600167,,,16.0,,2.043409222366377
dca,ETH,1d,Crash/Capitulation,completed_historical_backtest,49,-0.14398294053636962,-0.6861526649516618,-0.19153273963483147,0.3970065188043822,,,2.0,,-1.728315864983948
dca,ETH,1d,High Vol Expansion,completed_historical_backtest,46,0.26194677694852153,5.342899251820932,1.964048805609488,0.3308154014141449,,,1.0,,16.15069682058788
dca,ETH,1d,Range/Chop,completed_historical_backtest,1438,6.281118702408288,0.6557589875923056,1.1089064981860874,0.5179100841205162,,,49.0,,1.2661637757177022
dca,ETH,1d,Unavailable,completed_historical_backtest,1,0.0,0.0,,0.0,,,1.0,,
funding_arbitrage,ETH,8h,Overall,completed_historical_backtest,7304,-0.29059918242339644,-0.050203225242274496,-2.749055287824281,0.3047435911466433,0.1450381679389313,0.35765994614167845,131.0,4.5038167938931295,-0.16473923226203827
funding_arbitrage,ETH,8h,Bear Trend,completed_historical_backtest,1958,-0.02065363175909718,-0.011611424644964341,-2.1037415183838046,0.02065363175909718,0.0,0.0,5.0,2.4,-0.5621977180768669
funding_arbitrage,ETH,8h,Bull Trend,completed_historical_backtest,1785,-0.12409242350835503,-0.07811420650559242,-2.865905090330301,0.14155673206104236,0.11940298507462686,0.47038651823576605,67.0,4.7164179104477615,-0.551822618170557
funding_arbitrage,ETH,8h,Crash/Capitulation,completed_historical_backtest,105,-0.01317417226777784,-0.12924579101125722,-6.741482559042364,0.01317417226777784,0.0,0.0,2.0,2.0,-9.810543568446734
funding_arbitrage,ETH,8h,High Vol Expansion,completed_historical_backtest,126,-0.018878097518212678,-0.15273472305572955,-3.34083044495241,0.03148691508821089,0.26666666666666666,0.6404499621814507,15.0,5.666666666666667,-4.850736333738691
funding_arbitrage,ETH,8h,Range/Chop,completed_historical_backtest,3330,-0.14585106046065222,-0.05055271815660056,-3.5444205195560667,0.14585106046065222,0.16666666666666666,0.18097846869425407,42.0,4.119047619047619,-0.34660507778919236
dca,SOL,1d,Overall,completed_historical_backtest,2177,8.437985852977622,0.4573440464438179,0.8763787031009997,0.9618217944099989,,,100.0,,0.47549769520908186
dca,SOL,1d,Bear Trend,completed_historical_backtest,453,-0.15486644026973528,-0.12686673011466454,0.34502076313402624,0.5799237132870687,,,21.0,,-0.2187645154145716
dca,SOL,1d,Bull Trend,completed_historical_backtest,426,10.3686103491148,7.038176930681658,2.454300668461624,0.618592283722398,,,23.0,,11.377731529933113
dca,SOL,1d,Crash/Capitulation,completed_historical_backtest,46,-0.1642071524465346,-0.7593164835213748,0.5177845965371747,0.5790444328212738,,,1.0,,-1.3113268006425047
dca,SOL,1d,High Vol Expansion,completed_historical_backtest,86,0.2901436414141463,1.9504629088005063,1.4482036240048008,0.4655070083485481,,,7.0,,4.18997538988736
dca,SOL,1d,Range/Chop,completed_historical_backtest,1165,-0.0890178313855331,-0.028806953706267624,0.35706401995358134,0.8402587211694444,,,47.0,,-0.03428343316231821
dca,SOL,1d,Unavailable,completed_historical_backtest,1,0.0,0.0,,0.0,,,1.0,,
funding_arbitrage,SOL,8h,Overall,completed_historical_backtest,6505,-0.035560344508825614,-0.006080581950178687,-0.15825866215520856,0.14864332318205986,0.20945945945945946,1.0076701124295218,148.0,4.452702702702703,-0.04090719865520719
funding_arbitrage,SOL,8h,Bear Trend,completed_historical_backtest,1407,-0.08530533721645539,-0.06708418326342935,-3.2548522810150815,0.09069611884133255,0.1935483870967742,0.31690476239707155,31.0,3.3870967741935485,-0.7396588092241205
funding_arbitrage,SOL,8h,Bull Trend,completed_historical_backtest,1278,-0.08424739417552951,-0.07268173834647007,-2.494286488166357,0.10099878974112764,0.21153846153846154,0.6450055235008626,52.0,5.0576923076923075,-0.7196297948991501
funding_arbitrage,SOL,8h,Crash/Capitulation,completed_historical_backtest,153,0.2707876241256322,4.563475390363847,10.45247052182118,0.012318131313639014,0.625,3.5553580611502436,8.0,6.625,370.46815577546465
funding_arbitrage,SOL,8h,High Vol Expansion,completed_historical_backtest,258,-0.05963805430427527,-0.22983890592188705,-7.2463439936219975,0.08189646066155343,0.05263157894736842,0.0011944264474308354,19.0,2.9473684210526314,-2.8064571297131247
funding_arbitrage,SOL,8h,Range/Chop,completed_historical_backtest,3409,-0.03649776035633734,-0.01187973632838446,-0.6516119637366274,0.0810739608791321,0.21052631578947367,2.4544546596191563,38.0,4.7894736842105265,-0.14652961566902087
dca,BNB,1d,Overall,completed_historical_backtest,3130,45.229338069068945,0.5641727740766052,0.9578388319203244,0.7471250922739159,,,100.0,,0.7551249180502219
