coin,regime,strategy,sharpe,max_drawdown,total_return,sharpe_rank
DOGE,Crash/Capitulation,mean_reversion,6.95009952056781,0.2569887298821768,2.148907610300031,1.0
DOGE,Crash/Capitulation,dca,2.240313256431546,0.42172028470167244,0.36411965632809706,2.0
DOGE,Crash/Capitulation,grid,1.1986979968745792,0.44077925762164194,0.09176089582706148,3.0
DOGE,Crash/Capitulation,contrarian,0.6042831206895856,0.32245301744010124,-0.023504835480104513,4.0
DOGE,Crash/Capitulation,statistical_arbitrage,-0.23746389772345047,0.28169804638305074,-0.09975473570193272,5.0
DOGE,Crash/Capitulation,momentum,-0.8165332253571116,0.1692877748776731,-0.04260289067785705,6.0
DOGE,Crash/Capitulation,breakout,-4.0631256277358085,0.3776862059471232,-0.36043580038244716,7.0
DOGE,Crash/Capitulation,funding_arbitrage,-4.4540792902327775,0.018546650675000276,-0.020336658397048346,8.0
DOGE,Crash/Capitulation,trend_following,-5.203814078674546,0.3166111678579724,-0.3159731323925212,9.0
DOGE,High Vol Expansion,dca,1.4415598631677211,0.7204844415907414,0.6290648616313483,1.0
DOGE,High Vol Expansion,momentum,0.6932893236390147,0.19472069821712779,0.09996311417281034,2.0
DOGE,High Vol Expansion,breakout,0.5665738420569539,0.646459135694293,-0.22664073516515038,3.0
DOGE,High Vol Expansion,grid,-0.059217326098192684,0.817431148039823,-0.6781755287086113,4.0
DOGE,High Vol Expansion,contrarian,-0.48395130585692153,0.8295074178246225,-0.6200142487501739,5.0
DOGE,High Vol Expansion,trend_following,-0.616164449908215,0.615667125210986,-0.41130666158954254,6.0
DOGE,High Vol Expansion,statistical_arbitrage,-1.1438359460506367,0.6485223898879058,-0.5301435127724372,7.0
DOGE,High Vol Expansion,mean_reversion,-1.2881237967887766,0.8303351235475003,-0.7331112657656695,8.0
DOGE,High Vol Expansion,funding_arbitrage,-1.967305286571258,0.07744012979388992,-0.04056174767095733,9.0
DOGE,Range/Chop,dca,0.5004850105427182,0.8459926521958157,0.29025434100757797,1.0
DOGE,Range/Chop,trend_following,0.4181318505137371,0.8474596466058686,-0.05240056422500694,2.0
DOGE,Range/Chop,breakout,0.37751806286863115,0.4828591416954544,0.11799514526943855,3.0
