strategy,final_usd_value,final_cash_usd,final_xrp_units,final_xrp_equivalent,final_xrp_close,event_count,gross_spent_usd,total_costs_usd,avg_trade_return_pct,win_rate,unused_cash_usd,total_return_on_committed_capital,max_drawdown,excess_xrp_vs_daily,excess_xrp_vs_weekly,check
xrp_etf_spread_d100_l50_h72,9743.6681349088722,9743.6681349088722,0,9139.544259364855,1.0661,7,8352.9710095258561,50.117826057155135,-0.028676399440057013,0.14285714285714285,9743.6681349088722,-0.025633186509112837,0.10580385716805052,3870.5043387970309,3837.859964525991,nearby_parameters
xrp_etf_spread_d100_l50_h96,9789.0525584577463,9789.0525584577463,0,9182.1147720267763,1.0661,6,8045.9121351166268,48.275472810699767,-0.019101015949051923,0.33333333333333331,9789.0525584577463,-0.021094744154225409,0.10619350629535607,3913.0748514589523,3880.4304771879124,nearby_parameters
xrp_etf_spread_d100_l55_h48,9858.2839538421449,9858.2839538421449,0,9247.053704007265,1.0661,4,5857.7275242880569,35.146365145728339,-0.017467427819442903,0,9858.2839538421449,-0.014171604615785482,0.044411493830022075,3978.0137834394409,3945.369409168401,nearby_parameters
xrp_etf_spread_d100_l55_h72,9854.7775561527378,9854.7775561527378,0,9243.7647088947924,1.0661,4,5828.3954122337382,34.970372473402428,-0.025428804837902573,0,9854.7775561527378,-0.014522244384726268,0.049673318226202468,3974.7247883269683,3942.0804140559285,nearby_parameters
xrp_etf_spread_d100_l55_h96,9830.1243495003346,9830.1243495003346,0,9220.640042679237,1.0661,4,5791.6036173103967,34.749621703862381,-0.035407434965836398,0.25,9830.1243495003346,-0.016987565049966569,0.082235590656491886,3951.6001221114129,3918.9557478403731,nearby_parameters
xrp_etf_spread_d100_l60_h48,9901.3311411250306,9901.3311411250306,0,9287.4318929978708,1.0661,2,3469.6108317958988,20.817664990775395,-0.020419410931391095,0,9901.3311411250306,-0.0098668858874969567,0.035752615320346015,4018.3919724300467,3985.7475981590069,nearby_parameters
xrp_etf_spread_d100_l60_h72,9905.2820515017011,9905.2820515017011,0,9291.1378402604823,1.0661,2,3467.5753410795769,20.805452046477463,-0.022719797960438985,0,9905.2820515017011,-0.009471794849829851,0.038012901929405207,4022.0979196926583,3989.4535454216184,nearby_parameters
xrp_etf_spread_d100_l60_h96,9903.4273292138951,9903.4273292138951,0,9289.398113886029,1.0661,2,3473.0500313871144,20.838300188322687,-0.015141480631832287,0.5,9903.4273292138951,-0.0096572670786104764,0.038012901929405207,4020.3581933182049,3987.7138190471651,nearby_parameters
xrp_etf_spread_d120_l50_h48,9751.2377014277627,9751.2377014277627,0,9146.6444999791402,1.0661,7,8375.4800076013853,50.252880045608308,-0.029027382708453949,0,9751.2377014277627,-0.024876229857223708,0.10565285451823314,3877.6045794113161,3844.9602051402762,nearby_parameters
xrp_etf_spread_d120_l50_h72,9743.6681349088722,9743.6681349088722,0,9139.544259364855,1.0661,7,8352.9710095258561,50.117826057155135,-0.028676399440057013,0.14285714285714285,9743.6681349088722,-0.025633186509112837,0.10580385716805052,3870.5043387970309,3837.859964525991,nearby_parameters
xrp_etf_spread_d120_l50_h96,9789.0525584577463,9789.0525584577463,0,9182.1147720267763,1.0661,6,8045.9121351166268,48.275472810699767,-0.019101015949051923,0.33333333333333331,9789.0525584577463,-0.021094744154225409,0.10619350629535607,3913.0748514589523,3880.4304771879124,nearby_parameters
