strategy,final_usd_value,final_cash_usd,final_sol_units,final_sol_equivalent,final_sol_close,event_count,gross_spent_usd,total_costs_usd,unused_cash_usd,total_return_on_committed_capital,max_drawdown,excess_sol_vs_daily,excess_sol_vs_weekly,check
sol_etf_spread_d100_l50_h96,10975.744252816667,10975.744252816667,0,147.92108157434859,74.200000000000003,8,39925.831220603446,239.55498732362071,10975.744252816667,0.097574425281666599,0.10915241300716472,71.996704338602868,71.813690699256526,nearby_parameters
sol_etf_spread_d100_l55_h48,9486.5902564447715,9486.5902564447715,0,127.85162070680285,74.200000000000003,11,50500.234209487331,303.00140525692404,9486.5902564447715,-0.051340974355522873,0.12666076985343044,51.927243471057125,51.744229831710783,nearby_parameters
sol_etf_spread_d100_l55_h72,10644.459169836935,10644.459169836935,0,143.45632304362445,74.200000000000003,9,47380.915665927067,284.28549399556243,10644.459169836935,0.064445916983693508,0.10151855648395414,67.531945807878728,67.348932168532386,nearby_parameters
sol_etf_spread_d100_l55_h96,10975.744252816667,10975.744252816667,0,147.92108157434859,74.200000000000003,8,39925.831220603446,239.55498732362071,10975.744252816667,0.097574425281666599,0.10915241300716472,71.996704338602868,71.813690699256526,nearby_parameters
sol_etf_spread_d100_l60_h48,9209.3136616583906,9209.3136616583906,0,124.11473937545,74.200000000000003,9,39792.000577905012,238.75200346743009,9209.3136616583906,-0.079068633834160962,0.12666076985343033,48.190362139704277,48.007348500357935,nearby_parameters
sol_etf_spread_d100_l60_h72,8936.8166694494721,8936.8166694494721,0,120.44227317317348,74.200000000000003,8,34668.399787671609,208.01039872602968,8936.8166694494721,-0.10631833305505278,0.12666076985343055,44.517895937427753,44.334882298081411,nearby_parameters
sol_etf_spread_d100_l60_h96,9036.2072004882029,9036.2072004882029,0,121.78176820064964,74.200000000000003,8,34287.66038317066,205.72596229902393,9036.2072004882029,-0.096379279951179675,0.12666076985343033,45.857390964903914,45.674377325557572,nearby_parameters
sol_etf_spread_d120_l50_h48,9743.4863928189716,9743.4863928189716,0,131.31383278731766,74.200000000000003,10,45916.612811372674,275.49967686823607,9743.4863928189716,-0.025651360718102811,0.12666076985343044,55.389455551571942,55.2064419122256,nearby_parameters
sol_etf_spread_d120_l50_h72,10644.459169836935,10644.459169836935,0,143.45632304362445,74.200000000000003,9,47380.915665927067,284.28549399556243,10644.459169836935,0.064445916983693508,0.10151855648395414,67.531945807878728,67.348932168532386,nearby_parameters
sol_etf_spread_d120_l50_h96,10843.220821343713,10843.220821343713,0,146.13505150058913,74.200000000000003,8,39708.272976874621,238.24963786124772,10843.220821343713,0.084322082134371312,0.10915241300716472,70.210674264843405,70.027660625497063,nearby_parameters
sol_etf_spread_d120_l55_h48,9743.4863928189716,9743.4863928189716,0,131.31383278731766,74.200000000000003,10,45916.612811372674,275.49967686823607,9743.4863928189716,-0.025651360718102811,0.12666076985343044,55.389455551571942,55.2064419122256,nearby_parameters
sol_etf_spread_d120_l55_h72,10644.459169836935,10644.459169836935,0,143.45632304362445,74.200000000000003,9,47380.915665927067,284.28549399556243,10644.459169836935,0.064445916983693508,0.10151855648395414,67.531945807878728,67.348932168532386,nearby_parameters
sol_etf_spread_d120_l55_h96,10843.220821343713,10843.220821343713,0,146.13505150058913,74.200000000000003,8,39708.272976874621,238.24963786124772,10843.220821343713,0.084322082134371312,0.10915241300716472,70.210674264843405,70.027660625497063,nearby_parameters
sol_etf_spread_d120_l60_h48,9366.8563639611657,9366.8563639611657,0,126.23795638761678,74.200000000000003,8,34937.964520845577,209.62778712507344,9366.8563639611657,-0.063314363603883428,0.12666076985343033,50.313579151871053,50.130565512524711,nearby_parameters
sol_etf_spread_d120_l60_h72,8924.4496689233474,8924.4496689233474,0,120.27560200705319,74.200000000000003,8,34641.694175716017,207.85016505429613,8924.4496689233474,-0.10755503310766523,0.12666076985343055,44.351224771307471,44.168211131961129,nearby_parameters
sol_etf_spread_d120_l60_h96,8968.3559990981812,8968.3559990981812,0,120.86733152423425,74.200000000000003,8,34146.221037150288,204.87732622290173,8968.3559990981812,-0.10316440009018191,0.12666076985343033,44.942954288488522,44.75994064914218,nearby_parameters
sol_etf_spread_doubled_cost,10356.828496843955,10356.828496843955,0,139.57989887929858,74.200000000000003,9,46340.465714458522,556.08558857350226,10356.828496843955,0.035682849684395501,0.11282282125116228,63.655521643552859,63.472508004206517,doubled_cost_primary
