entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,asset,note
2022-10-23 00:00:00+00:00,2022-11-08 00:00:00+00:00,1313.62,1568.09,0.19371659992996457,17075.98918521741,20353.31591299265,0.19192602503006984,ETH,
2022-12-02 00:00:00+00:00,2022-12-16 00:00:00+00:00,1276.4,1266.53,-0.007732685678470791,20322.78593912316,20135.38776901006,-0.009221086649953025,ETH,
2023-01-06 00:00:00+00:00,2023-02-09 00:00:00+00:00,1251.25,1650.42,0.31901698301698306,20105.184687356545,26479.301429242303,0.31703845754245763,ETH,
2023-04-05 00:00:00+00:00,2023-04-21 00:00:00+00:00,1870.38,1942.98,0.03881564174125039,26439.58247709844,27424.65306056026,0.03725741827863849,ETH,
2023-07-02 00:00:00+00:00,2023-07-22 00:00:00+00:00,1924.5,1891.73,-0.017027799428422957,27383.51608096942,26876.859208905433,-0.01850225772928027,ETH,
2023-09-29 00:00:00+00:00,2023-10-09 00:00:00+00:00,1653.0,1632.85,-0.012189957652752626,26836.543920092077,26469.64347478068,-0.013671672716273453,ETH,
2023-10-23 00:00:00+00:00,2023-11-21 00:00:00+00:00,1663.69,2021.41,0.2150160186092361,26429.939009568512,32064.63006858963,0.21319349458132208,ETH,
2023-12-02 00:00:00+00:00,2023-12-17 00:00:00+00:00,2087.24,2228.96,0.06789827715068716,32016.533123486748,34139.11496206504,0.06629642973496108,ETH,
2024-01-10 00:00:00+00:00,2024-01-21 00:00:00+00:00,2344.3,2472.02,0.05448108177281056,34087.90628962194,35891.13472120126,0.05289936015015151,ETH,
2024-02-15 00:00:00+00:00,2024-03-16 00:00:00+00:00,2774.8,3742.19,0.34863413579357067,35837.298019119466,48258.90633802704,0.3466111845898805,ETH,
2024-05-21 00:00:00+00:00,2024-06-07 00:00:00+00:00,3661.79,3813.47,0.04142236447202047,48186.51797852,50107.24371263053,0.039860230925312434,ETH,
2024-07-15 00:00:00+00:00,2024-07-25 00:00:00+00:00,3245.2,3335.82,0.027924318994206936,50032.08284706159,51352.05089639489,0.026382432515715815,ETH,
2024-09-20 00:00:00+00:00,2024-10-01 00:00:00+00:00,2465.21,2602.24,0.05558552821057831,51275.0228200503,54043.98428944099,0.054002149918262576,ETH,
2024-11-23 00:00:00+00:00,2024-12-18 00:00:00+00:00,3327.78,3893.01,0.16985197338766383,53962.91831300683,63033.933538511,0.1680971954275825,ETH,
