date,copper,sma12_prior,change3_prior,risk_on_signal,risk_on_actionable
1998-01-01 00:00:00+00:00,1687.60000986328,2275.187129640071,-342.8571630859399,False,False
1998-02-01 00:00:00+00:00,1663.99998604431,2213.547730959574,-363.0955585388199,False,False
1998-03-01 00:00:00+00:00,1747.15916341095,2151.661766330464,-254.49995894927997,False,False
1998-04-01 00:00:00+00:00,1800.12507817535,2095.5763458875017,-14.293228024290102,False,False
1998-05-01 00:00:00+00:00,1731.65792903595,2046.4769232776634,112.52506831206983,False,False
1998-06-01 00:00:00+00:00,1656.59518632507,1981.34008942782,67.65794299164008,False,False
1998-07-01 00:00:00+00:00,1655.66672697449,1901.7825466087334,-90.56397708587997,False,False
1998-08-01 00:00:00+00:00,1619.92507875671,1835.6551318527215,-144.45835120085985,False,False
1998-09-01 00:00:00+00:00,1646.77269191284,1783.1405514948517,-111.73285027923998,False,False
1998-10-01 00:00:00+00:00,1585.49992534637,1745.0124796108232,-9.822494412230071,False,False
1998-11-01 00:00:00+00:00,1573.72497511139,1706.246176022846,-70.16680162812008,False,False
1998-12-01 00:00:00+00:00,1475.76309447174,1677.5149285326625,-46.20010364532004,False,False
1999-01-01 00:00:00+00:00,1432.00002842255,1653.7074871190373,-171.0095974410999,False,False
1999-02-01 00:00:00+00:00,1412.95,1632.4074886656433,-153.49989692381996,False,False
1999-03-01 00:00:00+00:00,1378.47727272727,1611.4866564952843,-160.77497511138995,False,False
1999-04-01 00:00:00+00:00,1463.725,1580.7631656049778,-97.28582174447001,False,False
1999-05-01 00:00:00+00:00,1510.44736842105,1552.7298257570317,31.724971577449878,False,False
1999-06-01 00:00:00+00:00,1422.15909090909,1534.2956123724568,97.49736842104994,False,False
1999-07-01 00:00:00+00:00,1639.18181818182,1514.7592710877918,43.68181818182006,True,False
1999-08-01 00:00:00+00:00,1646.7380952381,1513.3855286884027,175.45681818182015,True,True
1999-09-01 00:00:00+00:00,1749.68181818182,1515.6199467285185,136.29072681704997,True,True
1999-10-01 00:00:00+00:00,1723.28571428571,1524.1957072509333,327.52272727273,True,True
1999-11-01 00:00:00+00:00,1726.77272727273,1535.6778563292119,84.10389610388984,True,True
1999-12-01 00:00:00+00:00,1764.88235294118,1548.4318356759898,80.03463203463002,True,True
2000-01-01 00:00:00+00:00,1843.85,1572.5251072151102,15.200534759359925,True,True
2000-02-01 00:00:00+00:00,1807.025,1606.8459381798975,120.56428571429001,True,True
2000-03-01 00:00:00+00:00,1739.8,1639.685521513231,80.25227272727011,True,True
2000-04-01 00:00:00+00:00,1681.9075,1669.7957487859583,-25.082352941180034,False,True
2000-05-01 00:00:00+00:00,1785.09782608696,1687.9776237859585,-161.94249999999988,False,False
2000-06-01 00:00:00+00:00,1752.07272727273,1710.8651619247842,-21.92717391304018,False,False
2000-07-01 00:00:00+00:00,1803.14285714286,1738.3579649550877,12.27272727272998,True,False
2000-08-01 00:00:00+00:00,1857.12391304348,1752.0213848685073,121.23535714286004,True,True
2000-09-01 00:00:00+00:00,1961.89285714286,1769.5535363522893,72.02608695651998,True,True
2000-10-01 00:00:00+00:00,1894.37272727273,1787.2377895990423,209.82012987013013,True,True
2000-11-01 00:00:00+00:00,1795.60227272727,1801.495040681294,91.22987012986982,False,True
2000-12-01 00:00:00+00:00,1852.4,1807.2308361358391,-61.52164031620987,False,False
2001-01-01 00:00:00+00:00,1787.05681818182,1814.5239733907408,-109.49285714285998,False,False
2001-02-01 00:00:00+00:00,1766.125,1809.7912082392259,-107.31590909090983,False,False
2001-03-01 00:00:00+00:00,1742.15909090909,1806.3828749058923,-29.47727272727002,False,False
2001-04-01 00:00:00+00:00,1665.97222222222,1806.5794658149835,-110.24090909091001,False,False
2001-05-01 00:00:00+00:00,1684.85,1805.2515260001683,-121.08459595960016,False,False
2001-06-01 00:00:00+00:00,1610.46904761905,1796.8975404929215,-81.27500000000009,False,False
2001-07-01 00:00:00+00:00,1526.77045454545,1785.0972338551153,-131.6900432900402,False,False
2001-08-01 00:00:00+00:00,1466.41136363636,1762.066200305331,-139.2017676767698,False,False
2001-09-01 00:00:00+00:00,1427.69736842105,1729.5068211880707,-218.43863636363994,False,False
2001-10-01 00:00:00+00:00,1377.37608695652,1684.9905304612532,-182.7716791979999,False,False
2001-11-01 00:00:00+00:00,1434.29318181818,1641.9074771015692,-149.39436758892998,False,False
2001-12-01 00:00:00+00:00,1472.84705882353,1611.7983861924786,-32.11818181817989,False,False
2002-01-01 00:00:00+00:00,1508.22727272727,1580.1689744277726,45.14969040248002,False,False
2002-02-01 00:00:00+00:00,1561.3675,1556.9331789732266,130.8511857707499,True,False
