asset,bucket,horizon_hours,sample_count,avg_gross_return,avg_net_return,win_rate_gross,holdout_count_2025_onward,holdout_avg_gross_return
XRP,-5_to_-1bps,16,180,0.0083205255582470151,0.0053205255582470133,0.57777777777777772,79,0.0062375837919728654
XRP,-5_to_-1bps,24,180,0.012168038536880695,0.0091680385368806926,0.61111111111111116,79,0.0093122496376025557
XRP,-1_to_+1bps,8,1326,0.0012230051957820931,-0.0017769948042179074,0.51282051282051277,629,0.00043563272664753455
XRP,-1_to_+1bps,16,1325,0.0017696357304998577,-0.0012303642695001434,0.49283018867924527,628,0.0012787723745692891
XRP,-1_to_+1bps,24,1325,0.0017549823946366985,-0.0012450176053633024,0.49962264150943397,628,0.00039218763427512087
XRP,+1_to_+5bps,8,1561,0.00021369930824648446,-0.0027863006917535167,0.49583600256245997,192,-0.001600231468490116
XRP,+1_to_+5bps,16,1561,0.00099344380986174569,-0.0020065561901382559,0.51825752722613705,192,-0.0026705088607541501
XRP,+1_to_+5bps,24,1561,0.0020149788507900276,-0.00098502114920997444,0.4996796925048046,192,-0.00083191657481543281
XRP,ge_+5bps,8,180,0.0040448090266425683,0.0010448090266425658,0.51666666666666672,0,
XRP,ge_+5bps,16,180,0.010722486008717133,0.0077224860087171292,0.46111111111111114,0,
XRP,ge_+5bps,24,180,0.014392332462879232,0.011392332462879226,0.48333333333333334,0,
BNB,le_-5bps,8,141,0.0029164156766100235,-8.3584323389976532e-05,0.51063829787234039,4,0.0023061139432968836
BNB,le_-5bps,16,141,0.0034999704542167621,0.00049997045421676107,0.51773049645390068,4,-0.00039438606661049147
BNB,le_-5bps,24,141,0.0028399628877485389,-0.00016003711225146206,0.48226950354609927,4,-0.01029862848224225
BNB,-5_to_-1bps,8,409,-0.00016041937469528031,-0.0031604193746952816,0.53056234718826401,78,-0.0020607269451908216
BNB,-5_to_-1bps,16,409,0.00087736941889009852,-0.0021226305811099027,0.48899755501222492,78,-0.0027825805717058469
BNB,-5_to_-1bps,24,409,0.0017758468129835563,-0.0012241531870164453,0.5158924205378973,78,-0.001683183001190835
BNB,-1_to_+1bps,8,2239,0.00055412315660307567,-0.0024458768433969244,0.51585529254131313,783,0.00030197422409677471
BNB,-1_to_+1bps,16,2238,0.0012293872525843872,-0.0017706127474156133,0.52502234137622883,782,0.00078673507106898565
BNB,-1_to_+1bps,24,2238,0.001593980091281235,-0.0014060199087187661,0.52815013404825739,782,0.00086650030669294022
BNB,+1_to_+5bps,8,366,0.0012293544229687655,-0.0017706455770312363,0.49726775956284153,35,-0.0005805097603468701
BNB,+1_to_+5bps,16,366,0.0023976792072629236,-0.0006023207927370785,0.50546448087431695,35,-0.004059052823469027
BNB,+1_to_+5bps,24,366,0.0029367789632258399,-6.32210367741612e-05,0.50819672131147542,35,-0.0052148748735397097
BNB,ge_+5bps,8,97,0.0055554362034769605,0.0025554362034769587,0.53608247422680411,0,
BNB,ge_+5bps,16,97,0.010002248693891075,0.0070022486938910713,0.51546391752577314,0,
BNB,ge_+5bps,24,97,0.021683462401672023,0.01868346240167202,0.59793814432989689,0,
ADA,le_-5bps,8,6,0.044581171547567522,0.041581171547567519,0.83333333333333337,0,
ADA,le_-5bps,16,6,0.018629632776551979,0.015629632776551976,0.5,0,
ADA,le_-5bps,24,6,0.071202022165710019,0.068202022165710016,0.66666666666666663,0,
ADA,-5_to_-1bps,8,237,0.0046334735911372086,0.0016334735911372076,0.54430379746835444,105,0.0028605453127396145
ADA,-5_to_-1bps,16,237,0.0060253727446905317,0.0030253727446905294,0.52320675105485237,105,0.0038826333821052553
ADA,-5_to_-1bps,24,237,0.0057442586100650804,0.0027442586100650786,0.56118143459915615,105,0.003121461591136594
ADA,-1_to_+1bps,8,1139,-0.0012971440027939264,-0.0042971440027939276,0.46707638279192276,472,-0.0023259895390226608
ADA,-1_to_+1bps,16,1138,-0.0015564189493855504,-0.0045564189493855524,0.46748681898066785,471,-0.0023810533028616877
ADA,-1_to_+1bps,24,1138,-0.001743586377766085,-0.0047435863777660868,0.45869947275922673,471,-0.0026080802692977898
ADA,+1_to_+5bps,8,1731,0.0013777661917677977,-0.0016222338082322039,0.50086655112651646,323,0.0016060243998592117
ADA,+1_to_+5bps,16,1731,0.0029097947770410017,-9.0205222959000242e-05,0.49797804737146156,323,0.00031291207611773141
ADA,+1_to_+5bps,24,1731,0.0034904044608821535,0.00049040446088215151,0.49797804737146156,323,0.00040942802484059376
ADA,ge_+5bps,8,139,-0.0010881020673673943,-0.0040881020673673961,0.41007194244604317,0,
ADA,ge_+5bps,16,139,-0.0021716656699449313,-0.0051716656699449344,0.43884892086330934,0,
ADA,ge_+5bps,24,139,-0.00046328182069383988,-0.0034632818206938427,0.4460431654676259,0,
