date,walcl,prior_sma13,risk_on_signal_close,risk_on_actionable
2005-02-23 00:00:00+00:00,804576.0,806219.1538461539,False,False
2005-03-02 00:00:00+00:00,801252.0,805805.3076923077,False,False
2005-03-09 00:00:00+00:00,799250.0,805358.3076923077,False,False
2005-03-16 00:00:00+00:00,807211.0,804647.1538461539,True,False
2005-03-23 00:00:00+00:00,797094.0,804661.2307692308,False,True
2005-03-30 00:00:00+00:00,807551.0,803565.9230769231,True,False
2005-04-06 00:00:00+00:00,797327.0,803304.9230769231,False,True
2005-04-13 00:00:00+00:00,805707.0,801891.4615384615,True,False
2005-04-20 00:00:00+00:00,801793.0,802449.3076923077,False,True
2005-04-27 00:00:00+00:00,809797.0,802051.8461538461,True,False
2005-05-04 00:00:00+00:00,802412.0,802246.8461538461,True,True
2005-05-11 00:00:00+00:00,808378.0,802067.3076923077,True,True
2005-05-18 00:00:00+00:00,801546.0,802919.5384615385,False,True
2005-05-25 00:00:00+00:00,810160.0,803376.4615384615,True,False
2005-06-01 00:00:00+00:00,817335.0,803806.0,True,True
2005-06-08 00:00:00+00:00,814172.0,805043.1538461539,True,True
2005-06-15 00:00:00+00:00,811198.0,806191.0,True,True
2005-06-22 00:00:00+00:00,810429.0,806497.6923076923,True,True
2005-06-29 00:00:00+00:00,810082.0,807523.4615384615,True,True
2005-07-06 00:00:00+00:00,821556.0,807718.1538461539,True,True
2005-07-13 00:00:00+00:00,808861.0,809581.9230769231,False,True
2005-07-20 00:00:00+00:00,816804.0,809824.5384615385,True,False
2005-07-27 00:00:00+00:00,814259.0,810979.2307692308,True,True
2005-08-03 00:00:00+00:00,818841.0,811322.4615384615,True,True
2005-08-10 00:00:00+00:00,808544.0,812586.2307692308,False,True
2005-08-17 00:00:00+00:00,813774.0,812599.0,True,False
2005-08-24 00:00:00+00:00,811313.0,813539.6153846154,False,True
2005-08-31 00:00:00+00:00,823237.0,813628.3076923077,True,False
2005-09-07 00:00:00+00:00,822500.0,814082.3076923077,True,True
2005-09-14 00:00:00+00:00,823590.0,814722.9230769231,True,True
2005-09-21 00:00:00+00:00,812926.0,815676.1538461539,False,True
2005-09-28 00:00:00+00:00,823771.0,815868.2307692308,True,False
2005-10-05 00:00:00+00:00,817137.0,816921.2307692308,True,True
2005-10-12 00:00:00+00:00,826306.0,816581.3076923077,True,True
2005-10-19 00:00:00+00:00,814281.0,817923.2307692308,False,True
2005-10-26 00:00:00+00:00,819105.0,817729.1538461539,True,False
2005-11-02 00:00:00+00:00,814571.0,818101.9230769231,False,True
2005-11-09 00:00:00+00:00,824991.0,817773.4615384615,True,False
2005-11-16 00:00:00+00:00,823263.0,819038.6153846154,True,True
2005-11-23 00:00:00+00:00,833124.0,819768.5384615385,True,True
2005-11-30 00:00:00+00:00,835059.0,821446.3076923077,True,True
2005-12-07 00:00:00+00:00,833250.0,822355.6923076923,True,True
2005-12-14 00:00:00+00:00,830950.0,823182.6153846154,True,True
2005-12-21 00:00:00+00:00,848317.0,823748.7692307692,True,True
2005-12-28 00:00:00+00:00,847700.0,826471.1538461539,True,True
2006-01-04 00:00:00+00:00,851856.0,828311.8461538461,True,True
2006-01-11 00:00:00+00:00,829357.0,830982.5384615385,False,True
2006-01-18 00:00:00+00:00,836042.0,831217.2307692308,True,False
2006-01-25 00:00:00+00:00,828901.0,832891.1538461539,False,True
2006-02-01 00:00:00+00:00,831808.0,833644.6923076923,False,False
2006-02-08 00:00:00+00:00,827613.0,834970.6153846154,False,False
2006-02-15 00:00:00+00:00,835240.0,835172.3076923077,True,False
2006-02-22 00:00:00+00:00,840555.0,836093.6153846154,True,True
2006-03-01 00:00:00+00:00,839356.0,836665.2307692308,True,True
2006-03-08 00:00:00+00:00,839234.0,836995.7692307692,True,True
2006-03-15 00:00:00+00:00,843010.0,837456.0769230769,True,True
2006-03-22 00:00:00+00:00,838003.0,838383.7692307692,False,True
2006-03-29 00:00:00+00:00,833675.0,837590.3846153846,False,False
2006-04-05 00:00:00+00:00,834589.0,836511.5384615385,False,False
2006-04-12 00:00:00+00:00,836862.0,835183.3076923077,True,False
2006-04-19 00:00:00+00:00,836352.0,835760.6153846154,True,True
2006-04-26 00:00:00+00:00,844572.0,835784.4615384615,True,True
2006-05-03 00:00:00+00:00,843867.0,836989.9230769231,True,True
2006-05-10 00:00:00+00:00,838405.0,837917.5384615385,True,True
2006-05-17 00:00:00+00:00,838153.0,838747.6923076923,False,True
2006-05-24 00:00:00+00:00,840251.0,838971.7692307692,True,False
2006-05-31 00:00:00+00:00,851580.0,838948.3846153846,True,True
2006-06-07 00:00:00+00:00,849074.0,839888.6923076923,True,True
2006-06-14 00:00:00+00:00,845869.0,840645.6153846154,True,True
2006-06-21 00:00:00+00:00,844773.0,840865.5384615385,True,True
2006-06-28 00:00:00+00:00,844436.0,841386.3076923077,True,True
2006-07-05 00:00:00+00:00,851659.0,842214.0769230769,True,True
2006-07-12 00:00:00+00:00,844391.0,843527.1538461539,True,True
2006-07-19 00:00:00+00:00,849894.0,844106.3076923077,True,True
2006-07-26 00:00:00+00:00,841552.0,845148.0,False,True
2006-08-02 00:00:00+00:00,850263.0,844915.6923076923,True,False
2006-08-09 00:00:00+00:00,840006.0,845407.6923076923,False,True
2006-08-16 00:00:00+00:00,842876.0,845530.8461538461,False,False
2006-08-23 00:00:00+00:00,837987.0,845894.1538461539,False,False
2006-08-30 00:00:00+00:00,850925.0,845720.0,True,False
2006-09-06 00:00:00+00:00,848594.0,845669.6153846154,True,True
2006-09-13 00:00:00+00:00,840886.0,845632.6923076923,False,True
2006-09-20 00:00:00+00:00,838192.0,845249.3846153846,False,False
2006-09-27 00:00:00+00:00,849971.0,844743.1538461539,True,False
2006-10-04 00:00:00+00:00,842296.0,845168.9230769231,False,True
2006-10-11 00:00:00+00:00,859339.0,844448.6923076923,True,False
2006-10-18 00:00:00+00:00,844200.0,845598.5384615385,False,True
2006-10-25 00:00:00+00:00,852648.0,845160.5384615385,True,False
2006-11-01 00:00:00+00:00,855536.0,846014.0769230769,True,True
2006-11-08 00:00:00+00:00,858630.0,846419.6923076923,True,True
2006-11-15 00:00:00+00:00,855551.0,847852.3076923077,True,True
2006-11-22 00:00:00+00:00,865126.0,848827.3076923077,True,True
2006-11-29 00:00:00+00:00,856671.0,850914.9230769231,True,True
2006-12-06 00:00:00+00:00,862178.0,851356.9230769231,True,True
2006-12-13 00:00:00+00:00,853851.0,852401.8461538461,True,True
2006-12-20 00:00:00+00:00,865010.0,853399.1538461539,True,True
2006-12-27 00:00:00+00:00,869988.0,855462.0769230769,True,True
2007-01-03 00:00:00+00:00,874626.0,857001.8461538461,True,True
2007-01-10 00:00:00+00:00,854819.0,859488.7692307692,False,True
2007-01-17 00:00:00+00:00,859363.0,859141.0769230769,True,False
2007-01-24 00:00:00+00:00,851755.0,860307.4615384615,False,True
2007-01-31 00:00:00+00:00,865730.0,860238.7692307692,True,False
2007-02-07 00:00:00+00:00,855057.0,861022.9230769231,False,True
2007-02-14 00:00:00+00:00,867199.0,860748.0769230769,True,False
2007-02-21 00:00:00+00:00,869235.0,861644.0769230769,True,True
2007-02-28 00:00:00+00:00,877409.0,861960.1538461539,True,True
2007-03-07 00:00:00+00:00,864505.0,863555.3846153846,True,True
2007-03-14 00:00:00+00:00,876108.0,863734.3846153846,True,True
2007-03-21 00:00:00+00:00,863067.0,865446.4615384615,False,True
2007-03-28 00:00:00+00:00,869803.0,865297.0,True,False
2007-04-04 00:00:00+00:00,862319.0,865282.7692307692,False,True
2007-04-11 00:00:00+00:00,865441.0,864336.0769230769,True,False
2007-04-18 00:00:00+00:00,861335.0,865153.1538461539,False,True
2007-04-25 00:00:00+00:00,879686.0,865304.8461538461,True,False
2007-05-02 00:00:00+00:00,890857.0,867453.3846153846,True,True
2007-05-09 00:00:00+00:00,875270.0,869386.2307692308,True,True
2007-05-16 00:00:00+00:00,859559.0,870941.0769230769,False,True
2007-05-23 00:00:00+00:00,873935.0,870353.3846153846,True,False
2007-05-30 00:00:00+00:00,876986.0,870714.9230769231,True,True
2007-06-06 00:00:00+00:00,872706.0,870682.3846153846,True,True
2007-06-13 00:00:00+00:00,864989.0,871313.2307692308,False,True
