entry_time,exit_time,entry_price,exit_price,gross_return,capital_at_entry,capital_at_exit,trade_return,note,asset
2022-09-11 00:00:00+00:00,2022-09-21 00:00:00+00:00,21647.21,18874.31,-0.12809502933634395,42385.30460178672,36900.52382874289,-0.12940288679233936,,BTC
2022-10-05 00:00:00+00:00,2022-10-21 00:00:00+00:00,20337.82,19041.92,-0.06371872698253803,36845.17304299978,34445.699352966636,-0.06512314889206405,,BTC
2022-10-27 00:00:00+00:00,2022-11-09 00:00:00+00:00,20771.61,18545.38,-0.10717657417985411,34394.03080393719,30661.734715519626,-0.10851580931858429,,BTC
2022-12-09 00:00:00+00:00,2022-12-17 00:00:00+00:00,17224.1,16631.5,-0.03440528097259065,30615.742113446348,29518.05530549308,-0.03585367305113174,,BTC
2023-01-07 00:00:00+00:00,2023-02-07 00:00:00+00:00,16950.31,22762.52,0.3428969735656751,29473.778222534842,39520.87720322606,0.34088262810532655,,BTC
2023-02-16 00:00:00+00:00,2023-02-26 00:00:00+00:00,24322.87,23157.07,-0.047930199026677334,39461.59588742122,37513.838452012875,-0.04935830372813721,,BTC
2023-04-15 00:00:00+00:00,2023-04-21 00:00:00+00:00,30466.93,28243.65,-0.07297354869689854,37457.56769433486,34672.069820043755,-0.07436408837385311,,BTC
2023-05-29 00:00:00+00:00,2023-06-06 00:00:00+00:00,28065.01,25728.2,-0.08326417842003256,34620.06171531369,31689.844543657673,-0.08463928215240235,,BTC
2023-07-04 00:00:00+00:00,2023-07-07 00:00:00+00:00,31156.2,29895.42,-0.04046642401833351,31642.309776842187,30316.31586451429,-0.041905724382306,,BTC
2023-07-14 00:00:00+00:00,2023-07-18 00:00:00+00:00,31454.23,30138.01,-0.041845564173721664,30270.84139071752,28960.634743277635,-0.043282795827461085,,BTC
2023-10-02 00:00:00+00:00,2023-10-12 00:00:00+00:00,27992.58,26875.52,-0.039905574977369046,28917.19379116272,27721.591691375077,-0.04134571661490294,,BTC
2023-10-17 00:00:00+00:00,2023-12-30 00:00:00+00:00,28500.77,42066.94,0.47599310474769635,27680.009303838015,40794.21961750927,0.4737791150905748,,BTC
2024-09-23 00:00:00+00:00,2024-10-02 00:00:00+00:00,63578.76,60804.92,-0.04362840671947681,40733.028288083005,38897.47729627005,-0.04506296410939736,,BTC
2024-10-15 00:00:00+00:00,2024-12-22 00:00:00+00:00,66084.0,97292.0,0.47224744264875007,38839.13108032565,57095.04019059746,0.47003907148477686,,BTC
2025-04-23 00:00:00+00:00,2025-05-31 00:00:00+00:00,93442.99,103985.47,0.11282258840390269,57009.39763031156,63346.18341615917,0.11115335452129682,,BTC
2025-07-03 00:00:00+00:00,2025-08-01 00:00:00+00:00,108849.59,115764.07,0.06352325259102962,63251.16414103493,67168.18019171641,0.06192796771214315,,BTC
2025-08-13 00:00:00+00:00,2025-08-19 00:00:00+00:00,120134.09,116227.05,-0.032522325677915354,67067.42792142884,64788.90982940574,-0.03397354218939841,,BTC
