rebalance_date,entry_date,exit_date,n_eligible,n_long,long_names,weighted_return,turnover_frac,cost,capital_before,capital_after,net_pnl
2023-06-07 00:00:00+00:00,2023-06-08 00:00:00+00:00,2023-06-15 00:00:00+00:00,62,6,"LDO,XRP,TRX,LTC,LUNC,INJ",-0.12102771788731131,0.3333333333333333,350.4791159740037,350479.11597400374,307710.94928453374,-42768.16668947
2023-06-14 00:00:00+00:00,2023-06-15 00:00:00+00:00,2023-06-22 00:00:00+00:00,64,6,"XRP,LUNC,TRX,INJ,GNO,ETH",0.0848315329126712,0.3333333333333333,307.71094928453374,307710.94928453374,333506.8298570694,25795.88057253568
2023-06-21 00:00:00+00:00,2023-06-22 00:00:00+00:00,2023-06-29 00:00:00+00:00,64,6,"SFP,STX,XRP,BTC,LUNC,PROM",-0.09149332080238806,0.6666666666666666,667.0136597141388,333506.8298570694,302326.168823455,-31180.661033614422
2023-06-28 00:00:00+00:00,2023-06-29 00:00:00+00:00,2023-07-06 00:00:00+00:00,64,6,"BCH,XLM,COMP,STX,SFP,BTC",0.11653849149899202,0.49999999999999994,453.4892532351824,302326.168823455,337105.3152255748,34779.14640211983
2023-07-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,2023-07-13 00:00:00+00:00,64,6,"BCH,COMP,XEC,SFP,DCR,BTC",0.029475605014738747,0.3333333333333333,337.1053152255748,337105.3152255748,346704.59303030727,9599.27780473244
2023-07-12 00:00:00+00:00,2023-07-13 00:00:00+00:00,2023-07-20 00:00:00+00:00,64,6,"BCH,COMP,XEC,SOL,INJ,QTUM",0.016001552929308268,0.49999999999999994,520.0568895454609,346704.59303030727,351732.34803697054,5027.755006663268
2023-07-19 00:00:00+00:00,2023-07-20 00:00:00+00:00,2023-07-27 00:00:00+00:00,64,6,"COMP,BCH,XLM,SOL,XRP,XEC",-0.03684220355817643,0.3333333333333333,351.7323480369705,351732.34803697054,338422.02092456014,-13310.327112410392
2023-07-26 00:00:00+00:00,2023-07-27 00:00:00+00:00,2023-08-03 00:00:00+00:00,64,6,"COMP,XLM,XRP,SOL,SNX,XEC",-0.07368439069831483,0.16666666666666666,169.2110104622801,338422.02092456014,313316.38950337935,-25105.63142118079
2023-08-02 00:00:00+00:00,2023-08-03 00:00:00+00:00,2023-08-10 00:00:00+00:00,65,6,"XRP,XLM,OP,SOL,LINK,DOGE",-0.002496927563946999,0.49999999999999994,469.974584255069,313316.38950337935,312064.0865899369,-1252.3029134424287
2023-08-09 00:00:00+00:00,2023-08-10 00:00:00+00:00,2023-08-17 00:00:00+00:00,65,6,"XLM,OP,XRP,SNX,GLM,LINK",-0.11745831044643618,0.3333333333333333,312.06408658993695,312064.0865899369,275097.5021414826,-36966.58444845432
2023-08-16 00:00:00+00:00,2023-08-17 00:00:00+00:00,2023-08-24 00:00:00+00:00,65,6,"RUNE,TWT,LINK,PROM,DOGE,SFP",0.05306911089762489,0.8333333333333334,687.7437553537065,275097.5021414826,289008.9382349348,13911.436093452212
2023-08-23 00:00:00+00:00,2023-08-24 00:00:00+00:00,2023-08-31 00:00:00+00:00,65,6,"RUNE,SFP,PROM,OP,TWT,TRX",-0.04659377083728243,0.3333333333333333,289.0089382349348,289008.9382349348,275253.913058655,-13755.025176279829
2023-08-30 00:00:00+00:00,2023-08-31 00:00:00+00:00,2023-09-07 00:00:00+00:00,65,6,"RUNE,SFP,FET,PROM,TRX,TWT",0.04966960032693703,0.16666666666666666,137.6269565293275,275253.913058655,288788.0379521745,13534.124893519504
2023-09-06 00:00:00+00:00,2023-09-07 00:00:00+00:00,2023-09-14 00:00:00+00:00,65,6,"RUNE,SFP,FET,TRX,IOTA,JASMY",-0.027768134690316228,0.3333333333333333,288.7880379521745,288788.0379521745,280480.1447794142,-8307.89317276032
2023-09-13 00:00:00+00:00,2023-09-14 00:00:00+00:00,2023-09-21 00:00:00+00:00,65,6,"SFP,RUNE,TRX,FET,IOTA,PROM",0.0027302568164772976,0.16666666666666666,140.24007238970708,280480.1447794142,281105.687534195,625.5427547808504
2023-09-20 00:00:00+00:00,2023-09-21 00:00:00+00:00,2023-09-28 00:00:00+00:00,65,6,"SFP,BCH,FET,TRX,LINK,XEC",0.015469087750762,0.49999999999999994,421.65853130129244,281105.687534195,285032.47755059844,3926.7900164034218
2023-09-27 00:00:00+00:00,2023-09-28 00:00:00+00:00,2023-10-05 00:00:00+00:00,65,6,"LINK,RUNE,CRV,TRX,CVX,BCH",0.022499223780889047,0.49999999999999994,427.5487163258976,285032.47755059844,291017.9383315047,5985.460780906258
2023-10-04 00:00:00+00:00,2023-10-05 00:00:00+00:00,2023-10-12 00:00:00+00:00,66,6,"RUNE,LINK,SOL,TRX,BCH,CFX",-0.0887339710848534,0.3333333333333333,291.0179383315047,291017.9383315047,264903.7430680918,-26114.195263412897
2023-10-11 00:00:00+00:00,2023-10-12 00:00:00+00:00,2023-10-19 00:00:00+00:00,66,6,"TWT,SOL,LINK,BCH,COMP,STX",0.05229803695058105,0.49999999999999994,397.3556146021376,264903.7430680918,278360.3331968119,13456.590128720098
2023-10-18 00:00:00+00:00,2023-10-19 00:00:00+00:00,2023-10-26 00:00:00+00:00,66,6,"TWT,SOL,STX,LINK,PENDLE,FLOKI",0.3259281162857477,0.3333333333333333,278.3603331968119,278360.3331968119,368807.4319111251,90447.09871431318
2023-10-25 00:00:00+00:00,2023-10-26 00:00:00+00:00,2023-11-02 00:00:00+00:00,66,6,"INJ,FLOKI,SOL,LINK,STX,TWT",0.10233441144264004,0.16666666666666666,184.40371595556255,368807.4319111251,406364.71967546607,37557.28776434099
2023-11-01 00:00:00+00:00,2023-11-02 00:00:00+00:00,2023-11-09 00:00:00+00:00,66,6,"INJ,FLOKI,SOL,FET,LINK,RUNE",0.08214078993980864,0.3333333333333333,406.364719675466,406364.71967546607,439337.4740336023,32972.75435813621
2023-11-08 00:00:00+00:00,2023-11-09 00:00:00+00:00,2023-11-16 00:00:00+00:00,66,6,"INJ,RUNE,SOL,NEO,AR,EGLD",0.22156417185951657,0.49999999999999994,659.0062110504033,439337.4740336023,536019.9114236587,96682.43739005644
2023-11-15 00:00:00+00:00,2023-11-16 00:00:00+00:00,2023-11-23 00:00:00+00:00,67,6,"RUNE,SOL,RAY,IMX,INJ,AR",-0.01944967698882031,0.3333333333333333,536.0199114236588,536019.9114236587,525058.4773754688,-10961.434048189898
2023-11-22 00:00:00+00:00,2023-11-23 00:00:00+00:00,2023-11-30 00:00:00+00:00,67,6,"RUNE,IMX,FET,AVAX,GNO,RAY",3.4666284692564265e-05,0.49999999999999994,787.5877160632031,525058.4773754688,524289.0914860625,-769.385889406316
2023-11-29 00:00:00+00:00,2023-11-30 00:00:00+00:00,2023-12-07 00:00:00+00:00,67,6,"SEI,RUNE,IMX,RAY,GNO,LUNC",0.19401298794749636,0.3333333333333333,524.2890914860625,524289.0914860625,625483.6955820657,101194.60409600323
2023-12-06 00:00:00+00:00,2023-12-07 00:00:00+00:00,2023-12-14 00:00:00+00:00,67,6,"LUNC,SEI,AVAX,RUNE,STX,IOTA",0.012801578770046809,0.49999999999999994,938.2255433730984,625483.6955820657,632552.6488370664,7068.953255000641
2023-12-13 00:00:00+00:00,2023-12-14 00:00:00+00:00,2023-12-21 00:00:00+00:00,67,6,"LUNC,AVAX,RAY,SEI,IMX,ADA",0.16507328332872592,0.49999999999999994,948.8289732555994,632552.6488370664,736021.3624856279,103468.7136485615
2023-12-20 00:00:00+00:00,2023-12-21 00:00:00+00:00,2023-12-28 00:00:00+00:00,67,6,"SEI,RAY,INJ,LUNC,STX,AVAX",0.10167999890522078,0.3333333333333333,736.0213624856278,736021.3624856279,810123.9924549,74102.62996927218
2023-12-27 00:00:00+00:00,2023-12-28 00:00:00+00:00,2024-01-04 00:00:00+00:00,67,6,"RAY,STX,INJ,SEI,AVAX,SOL",0.05811214431407559,0.16666666666666666,405.06199622745004,810123.9924549,856796.9728205068,46672.98036560672
2024-01-03 00:00:00+00:00,2024-01-04 00:00:00+00:00,2024-01-11 00:00:00+00:00,67,6,"RAY,SEI,OP,INJ,STX,AVAX",0.06812705377003977,0.16666666666666666,428.3984864102534,856796.9728205068,914739.6277714465,57942.6549509397
2024-01-10 00:00:00+00:00,2024-01-11 00:00:00+00:00,2024-01-18 00:00:00+00:00,67,6,"SEI,INJ,STX,OP,RAY,LDO",-0.04345030401064226,0.16666666666666666,457.3698138857232,914739.6277714465,874536.5430403097,-40203.0847311368
2024-01-17 00:00:00+00:00,2024-01-18 00:00:00+00:00,2024-01-25 00:00:00+00:00,67,6,"SEI,ENS,PENDLE,OP,LDO,STX",-0.08667372301167141,0.3333333333333333,874.5365430403095,874536.5430403097,797862.668402209,-76673.87463810074
2024-01-24 00:00:00+00:00,2024-01-25 00:00:00+00:00,2024-02-01 00:00:00+00:00,67,6,"PENDLE,ENS,SEI,CHZ,BNB,LDO",0.011650566580103383,0.3333333333333333,797.862668402209,797862.668402209,806360.3578738056,8497.68947159662
2024-01-31 00:00:00+00:00,2024-02-01 00:00:00+00:00,2024-02-08 00:00:00+00:00,68,6,"PENDLE,ENS,TIA,PROM,SEI,CHZ",0.08836521103115505,0.3333333333333333,806.3603578738055,806360.3578738056,876808.2007066082,70447.84283280268
2024-02-07 00:00:00+00:00,2024-02-08 00:00:00+00:00,2024-02-15 00:00:00+00:00,68,6,"PENDLE,ENS,LINK,CHZ,GNO,PROM",0.218597322827766,0.3333333333333333,876.8082007066081,876808.2007066082,1067599.317813797,190791.11710718868
2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,2024-02-22 00:00:00+00:00,68,6,"PENDLE,IMX,GNO,STX,LINK,SOL",-0.04214832525418801,0.49999999999999994,1601.3989767206951,1067599.317813797,1021000.3955487111,-46598.92226508586
2024-02-21 00:00:00+00:00,2024-02-22 00:00:00+00:00,2024-02-29 00:00:00+00:00,68,6,"JASMY,STX,IMX,PROM,FET,GLM",0.09123275967848368,0.6666666666666666,2042.0007910974223,1021000.3955487111,1112107.0784763459,91106.6829276348
2024-02-28 00:00:00+00:00,2024-02-29 00:00:00+00:00,2024-03-07 00:00:00+00:00,68,6,"JASMY,AR,STX,GLM,THETA,CVX",0.22179193103169823,0.49999999999999994,1668.1606177145186,1112107.0784763459,1357095.2943079204,244988.21583157452
2024-03-06 00:00:00+00:00,2024-03-07 00:00:00+00:00,2024-03-14 00:00:00+00:00,69,6,"FLOKI,JASMY,AR,FET,THETA,GLM",0.2258744383132511,0.3333333333333333,1357.0952943079203,1357095.2943079204,1662271.3363529702,305176.04204504983
