date,sp500,sma200_prior,risk_on_signal_close,risk_on_actionable
2021-06-16 00:00:00+00:00,4223.7,3788.9833500000004,True,True
2021-06-17 00:00:00+00:00,4221.86,3792.5618,True,True
2021-06-18 00:00:00+00:00,4166.45,3796.16955,True,True
2021-06-21 00:00:00+00:00,4224.79,3799.3685500000006,True,True
2021-06-22 00:00:00+00:00,4246.44,3802.5883000000003,True,True
2021-06-23 00:00:00+00:00,4241.84,3806.5452,True,True
2021-06-24 00:00:00+00:00,4266.49,3810.6196,True,True
2021-06-25 00:00:00+00:00,4280.7,3815.29285,True,True
2021-06-28 00:00:00+00:00,4290.61,3819.7015499999998,True,True
2021-06-29 00:00:00+00:00,4291.8,3824.4586500000005,True,True
2021-06-30 00:00:00+00:00,4297.5,3829.2128,True,True
2021-07-01 00:00:00+00:00,4319.94,3833.7826,True,True
2021-07-02 00:00:00+00:00,4352.34,3838.3763,True,True
2021-07-06 00:00:00+00:00,4343.54,3843.21055,True,True
2021-07-07 00:00:00+00:00,4358.13,3848.1432,True,True
2021-07-08 00:00:00+00:00,4320.82,3853.3365000000003,True,True
2021-07-09 00:00:00+00:00,4369.55,3858.5353000000005,True,True
2021-07-12 00:00:00+00:00,4384.63,3863.8052000000002,True,True
2021-07-13 00:00:00+00:00,4369.21,3869.54375,True,True
2021-07-14 00:00:00+00:00,4374.3,3875.15685,True,True
2021-07-15 00:00:00+00:00,4360.03,3880.5360499999997,True,True
2021-07-16 00:00:00+00:00,4327.16,3885.5782,True,True
2021-07-19 00:00:00+00:00,4258.49,3890.53665,True,True
2021-07-20 00:00:00+00:00,4323.06,3895.0141,True,True
2021-07-21 00:00:00+00:00,4358.69,3899.7254000000003,True,True
2021-07-22 00:00:00+00:00,4367.48,3904.77665,True,True
2021-07-23 00:00:00+00:00,4411.79,3909.5708999999997,True,True
2021-07-26 00:00:00+00:00,4422.3,3914.8251,True,True
2021-07-27 00:00:00+00:00,4401.46,3919.83935,True,True
2021-07-28 00:00:00+00:00,4400.64,3924.6125,True,True
2021-07-29 00:00:00+00:00,4419.15,3929.23005,True,True
2021-07-30 00:00:00+00:00,4395.26,3933.6546999999996,True,True
2021-08-02 00:00:00+00:00,4387.16,3938.0713499999997,True,True
2021-08-03 00:00:00+00:00,4423.15,3942.5638,True,True
2021-08-04 00:00:00+00:00,4402.66,3947.2628500000005,True,True
2021-08-05 00:00:00+00:00,4429.1,3951.8571,True,True
2021-08-06 00:00:00+00:00,4436.52,3956.868,True,True
2021-08-09 00:00:00+00:00,4432.35,3961.835,True,True
2021-08-10 00:00:00+00:00,4436.75,3966.8189500000003,True,True
2021-08-11 00:00:00+00:00,4447.7,3971.73525,True,True
2021-08-12 00:00:00+00:00,4460.83,3976.6468,True,True
2021-08-13 00:00:00+00:00,4468.0,3981.9461000000006,True,True
2021-08-16 00:00:00+00:00,4479.71,3987.3327000000004,True,True
2021-08-17 00:00:00+00:00,4448.08,3993.3761,True,True
2021-08-18 00:00:00+00:00,4400.27,3999.0659499999997,True,True
2021-08-19 00:00:00+00:00,4405.8,4004.7175,True,True
2021-08-20 00:00:00+00:00,4441.67,4010.1953000000003,True,True
2021-08-23 00:00:00+00:00,4479.53,4015.5578499999997,True,True
2021-08-24 00:00:00+00:00,4486.23,4020.7383,True,True
2021-08-25 00:00:00+00:00,4496.19,4025.6171999999997,True,True
2021-08-26 00:00:00+00:00,4470.0,4030.5509500000003,True,True
2021-08-27 00:00:00+00:00,4509.37,4035.14845,True,True
2021-08-30 00:00:00+00:00,4528.79,4039.96765,True,True
2021-08-31 00:00:00+00:00,4522.68,4044.7483,True,True
2021-09-01 00:00:00+00:00,4524.09,4049.67665,True,True
2021-09-02 00:00:00+00:00,4536.95,4054.3713499999994,True,True
2021-09-03 00:00:00+00:00,4535.43,4058.9215500000005,True,True
2021-09-07 00:00:00+00:00,4520.03,4063.55105,True,True
2021-09-08 00:00:00+00:00,4514.07,4068.31225,True,True
2021-09-09 00:00:00+00:00,4493.28,4072.97325,True,True
2021-09-10 00:00:00+00:00,4458.58,4077.65195,True,True
2021-09-13 00:00:00+00:00,4468.73,4082.0569,True,True
2021-09-14 00:00:00+00:00,4443.05,4086.2235000000005,True,True
2021-09-15 00:00:00+00:00,4480.7,4090.2905,True,True
2021-09-16 00:00:00+00:00,4473.75,4094.5022500000005,True,True
2021-09-17 00:00:00+00:00,4432.99,4098.76285,True,True
2021-09-20 00:00:00+00:00,4357.73,4102.6155499999995,True,True
2021-09-21 00:00:00+00:00,4354.19,4106.05915,True,True
2021-09-22 00:00:00+00:00,4395.64,4109.496499999999,True,True
2021-09-23 00:00:00+00:00,4448.98,4112.9791,True,True
2021-09-24 00:00:00+00:00,4455.48,4116.7642000000005,True,True
2021-09-27 00:00:00+00:00,4443.11,4120.53035,True,True
2021-09-28 00:00:00+00:00,4352.63,4124.3818,True,True
2021-09-29 00:00:00+00:00,4359.46,4127.80445,True,True
2021-09-30 00:00:00+00:00,4307.54,4131.28445,True,True
2021-10-01 00:00:00+00:00,4357.04,4134.5847,True,True
2021-10-04 00:00:00+00:00,4300.46,4137.8967999999995,True,True
2021-10-05 00:00:00+00:00,4345.72,4140.89325,True,True
2021-10-06 00:00:00+00:00,4363.55,4144.0094500000005,True,True
2021-10-07 00:00:00+00:00,4399.76,4147.2801500000005,True,True
2021-10-08 00:00:00+00:00,4391.34,4150.80435,True,True
2021-10-11 00:00:00+00:00,4361.19,4154.324750000001,True,True
2021-10-12 00:00:00+00:00,4350.65,4157.68065,True,True
2021-10-13 00:00:00+00:00,4363.8,4160.9186,True,True
2021-10-14 00:00:00+00:00,4438.26,4164.0608,True,True
2021-10-15 00:00:00+00:00,4471.37,4167.6169,True,True
2021-10-18 00:00:00+00:00,4486.46,4171.313550000001,True,True
2021-10-19 00:00:00+00:00,4519.63,4174.9655,True,True
2021-10-20 00:00:00+00:00,4536.19,4179.060399999999,True,True
2021-10-21 00:00:00+00:00,4549.78,4183.10705,True,True
2021-10-22 00:00:00+00:00,4544.9,4187.11525,True,True
2021-10-25 00:00:00+00:00,4566.48,4190.8208,True,True
2021-10-26 00:00:00+00:00,4574.79,4194.5298,True,True
2021-10-27 00:00:00+00:00,4551.68,4198.4057,True,True
2021-10-28 00:00:00+00:00,4596.42,4202.15815,True,True
2021-10-29 00:00:00+00:00,4605.38,4206.09105,True,True
2021-11-01 00:00:00+00:00,4613.67,4210.14025,True,True
2021-11-02 00:00:00+00:00,4630.65,4214.36735,True,True
2021-11-03 00:00:00+00:00,4660.57,4218.5260499999995,True,True
2021-11-04 00:00:00+00:00,4680.06,4222.56965,True,True
2021-11-05 00:00:00+00:00,4697.53,4226.7046,True,True
2021-11-08 00:00:00+00:00,4701.7,4230.9848999999995,True,True
2021-11-09 00:00:00+00:00,4685.25,4235.216600000001,True,True
2021-11-10 00:00:00+00:00,4646.71,4239.39475,True,True
2021-11-11 00:00:00+00:00,4649.27,4243.87445,True,True
2021-11-12 00:00:00+00:00,4682.85,4248.1839,True,True
2021-11-15 00:00:00+00:00,4682.8,4253.02695,True,True
2021-11-16 00:00:00+00:00,4700.9,4257.57165,True,True
2021-11-17 00:00:00+00:00,4688.67,4261.9446,True,True
2021-11-18 00:00:00+00:00,4704.54,4266.2371,True,True
2021-11-19 00:00:00+00:00,4697.96,4270.4011,True,True
2021-11-22 00:00:00+00:00,4682.94,4274.45675,True,True
2021-11-23 00:00:00+00:00,4690.7,4278.2935,True,True
2021-11-24 00:00:00+00:00,4701.46,4282.19085,True,True
2021-11-26 00:00:00+00:00,4594.62,4286.14875,True,True
2021-11-29 00:00:00+00:00,4655.27,4289.53995,True,True
2021-11-30 00:00:00+00:00,4567.0,4293.142150000001,True,True
2021-12-01 00:00:00+00:00,4513.04,4296.3142,True,True
2021-12-02 00:00:00+00:00,4577.1,4299.22275,True,True
2021-12-03 00:00:00+00:00,4538.43,4302.5384,True,True
2021-12-06 00:00:00+00:00,4591.67,4305.696999999999,True,True
2021-12-07 00:00:00+00:00,4686.75,4309.272849999999,True,True
2021-12-08 00:00:00+00:00,4701.21,4313.29975,True,True
2021-12-09 00:00:00+00:00,4667.45,4317.17865,True,True
2021-12-10 00:00:00+00:00,4712.02,4321.3692,True,True
2021-12-13 00:00:00+00:00,4668.97,4325.87355,True,True
2021-12-14 00:00:00+00:00,4634.09,4329.7092999999995,True,True
2021-12-15 00:00:00+00:00,4709.85,4333.5283,True,True
2021-12-16 00:00:00+00:00,4668.67,4337.97895,True,True
2021-12-17 00:00:00+00:00,4620.64,4342.47995,True,True
2021-12-20 00:00:00+00:00,4568.02,4346.37345,True,True
2021-12-21 00:00:00+00:00,4649.23,4350.1068,True,True
2021-12-22 00:00:00+00:00,4696.56,4353.9757500000005,True,True
2021-12-23 00:00:00+00:00,4725.79,4357.964499999999,True,True
2021-12-27 00:00:00+00:00,4791.19,4361.89675,True,True
2021-12-28 00:00:00+00:00,4786.35,4366.136,True,True
2021-12-29 00:00:00+00:00,4793.06,4370.22305,True,True
2021-12-30 00:00:00+00:00,4778.73,4374.3748,True,True
2021-12-31 00:00:00+00:00,4766.18,4378.397849999999,True,True
2022-01-03 00:00:00+00:00,4796.56,4382.65145,True,True
2022-01-04 00:00:00+00:00,4793.54,4387.06875,True,True
2022-01-05 00:00:00+00:00,4700.58,4391.3335,True,True
2022-01-06 00:00:00+00:00,4696.05,4395.2838,True,True
2022-01-07 00:00:00+00:00,4677.03,4399.31835,True,True
2022-01-10 00:00:00+00:00,4670.29,4403.155900000001,True,True
2022-01-11 00:00:00+00:00,4713.07,4406.63465,True,True
2022-01-12 00:00:00+00:00,4726.35,4410.34455,True,True
2022-01-13 00:00:00+00:00,4659.03,4414.18355,True,True
2022-01-14 00:00:00+00:00,4662.85,4417.61425,True,True
2022-01-18 00:00:00+00:00,4577.11,4420.82915,True,True
2022-01-19 00:00:00+00:00,4532.76,4423.32515,True,True
2022-01-20 00:00:00+00:00,4482.73,4425.61925,True,True
2022-01-21 00:00:00+00:00,4397.94,4427.63315,False,True
2022-01-24 00:00:00+00:00,4410.13,4429.137,False,False
2022-01-25 00:00:00+00:00,4356.45,4430.54365,False,False
2022-01-26 00:00:00+00:00,4349.93,4431.68595,False,False
2022-01-27 00:00:00+00:00,4326.51,4432.72765,False,False
2022-01-28 00:00:00+00:00,4431.85,4433.7369,False,False
2022-01-31 00:00:00+00:00,4515.55,4435.04405,True,False
2022-02-01 00:00:00+00:00,4546.54,4436.69445,True,True
2022-02-02 00:00:00+00:00,4589.38,4438.61085,True,True
2022-02-03 00:00:00+00:00,4477.44,4440.88305,True,True
2022-02-04 00:00:00+00:00,4500.53,4442.40315,True,True
2022-02-07 00:00:00+00:00,4483.87,4444.2309,True,True
2022-02-08 00:00:00+00:00,4521.54,4445.7494,True,True
2022-02-09 00:00:00+00:00,4587.18,4447.419,True,True
2022-02-10 00:00:00+00:00,4504.08,4449.4213,True,True
2022-02-11 00:00:00+00:00,4418.64,4451.0258,False,True
2022-02-14 00:00:00+00:00,4401.67,4452.06165,False,False
2022-02-15 00:00:00+00:00,4471.07,4453.1641500000005,True,False
2022-02-16 00:00:00+00:00,4475.01,4454.5562,True,True
2022-02-17 00:00:00+00:00,4380.26,4456.10795,False,True
2022-02-18 00:00:00+00:00,4348.87,4457.1713,False,False
2022-02-22 00:00:00+00:00,4304.76,4457.90755,False,False
2022-02-23 00:00:00+00:00,4225.5,4458.26835,False,False
