timestamp,kind,gross_spend_usd,fee_slippage_usd,cash_after,strategy,asset,execution_price,reference_open,btc_bought,btc_after,eth_bought,eth_after,sol_bought,sol_after,xrp_bought,xrp_after,btc_sold,eth_sold,sol_sold,xrp_sold,funding_rate,signal_time,planned_exit_time,reference_close
2026-05-23 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,74796.316435000001,74684.289999999994,0.00044417416452583684,0.094069519846531752,,,,,,,,,,,,,,
2026-05-24 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,76945.936035000006,76830.690000000002,0.00043176538065654895,0.0945012852271883,,,,,,,,,,,,,,
2026-05-25 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,77573.125410000008,77456.940000000002,0.00042827449824322145,0.094929559725431517,,,,,,,,,,,,,,
2026-05-26 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,76841.459554999994,76726.369999999995,0.00043235242477853851,0.09536191215021006,,,,,,,,,,,,,,
2026-05-27 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,75987.059875000006,75873.25,0.0004372138021497077,0.095799125952359773,,,,,,,,,,,,,,
2026-05-28 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,73435.868820000003,73325.880000000005,0.00045240278212761048,0.09625152873448739,,,,,,,,,,,,,,
2026-05-29 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,73763.880099999995,73653.399999999994,0.00045039104934674183,0.096701919783834134,,,,,,,,,,,,,,
2026-05-30 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,73640.365105000004,73530.070000000007,0.00045114647808652038,0.097153066261920648,,,,,,,,,,,,,,
2026-05-31 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,74048.526429999998,73937.619999999995,0.00044865972307406315,0.097601725984994711,,,,,,,,,,,,,,
2026-06-01 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,73011.993960000007,72902.639999999999,0.00045502922958558576,0.098056755214580293,,,,,,,,,,,,,,
2026-06-02 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,69926.733000000007,69822,0.00047510572762102644,0.098531860942201316,,,,,,,,,,,,,,
2026-06-03 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,67128.552014999994,67028.009999999995,0.00049490999529831358,0.099026770937499634,,,,,,,,,,,,,,
2026-06-04 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63725.434985,63629.989999999998,0.00052133957767328443,0.099548110515172913,,,,,,,,,,,,,,
2026-06-05 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62548.321960000001,62454.639999999999,0.00053115080182922051,0.10007926131700214,,,,,,,,,,,,,,
2026-06-06 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,61355.896000000001,61264,0.00054147349363337864,0.10062073481063552,,,,,,,,,,,,,,
2026-06-07 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62949.282500000001,62855,0.00052776759388998987,0.10114850240452551,,,,,,,,,,,,,,
2026-06-08 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63227.539259999998,63132.839999999997,0.00052544495248360937,0.10167394735700912,,,,,,,,,,,,,,
2026-06-09 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62944.024625000005,62849.75,0.00052781167966388582,0.102201759036673,,,,,,,,,,,,,,
2026-06-10 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,61353.452340000003,61261.559999999998,0.00054149506009894797,0.10274325409677194,,,,,,,,,,,,,,
2026-06-11 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63052.437000000005,62958,0.00052690416013779519,0.10327015825690974,,,,,,,,,,,,,,
2026-06-12 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63566.016215000003,63470.809999999998,0.00052264705797760123,0.10379280531488734,,,,,,,,,,,,,,
2026-06-13 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63901.709000000003,63806,0.00051990145306014032,0.10431270676794747,,,,,,,,,,,,,,
2026-06-14 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64553.014495000003,64456.330000000002,0.00051465592462300147,0.10482736269257048,,,,,,,,,,,,,,
2026-06-15 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,65760.493000000002,65662,0.00050520593515207134,0.10533256862772256,,,,,,,,,,,,,,
2026-06-16 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,66999.959415000005,66899.610000000001,0.00049585987293431616,0.10582842850065687,,,,,,,,,,,,,,
2026-06-17 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,65023.409030000003,64926.019999999997,0.00051093278340417776,0.10633936128406105,,,,,,,,,,,,,,
2026-06-18 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64496.529895000007,64399.93,0.00051510664862454523,0.10685446793268559,,,,,,,,,,,,,,
2026-06-19 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62697.906000000003,62604,0.00052988358753362904,0.10738435152021922,,,,,,,,,,,,,,
2026-06-20 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63513.106970000008,63417.980000000003,0.00052308244623930486,0.10790743396645852,,,,,,,,,,,,,,
2026-06-21 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64110.021000000001,64014,0.000518212142874298,0.10842564610933282,,,,,,,,,,,,,,
2026-06-22 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64262.249000000003,64166,0.00051698457304421826,0.10894263068237704,,,,,,,,,,,,,,
2026-06-23 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62479.579000000005,62386,0.00053173519882594342,0.10947436588120299,,,,,,,,,,,,,,
2026-06-24 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62894.200000000004,62800,0.00052822981073177247,0.11000259569193477,,,,,,,,,,,,,,
2026-06-25 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,61804.928540000001,61712.360000000001,0.00053753951581101929,0.11054013520774579,,,,,,,,,,,,,,
2026-06-26 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,60336.268850000008,60245.900000000001,0.00055062389496970433,0.1110907591027155,,,,,,,,,,,,,,
2026-06-27 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,60546.684000000001,60456,0.00054871033667386717,0.11163946943938936,,,,,,,,,,,,,,
2026-06-28 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,60460.565015000007,60370.010000000002,0.00054949191020434336,0.1121889613495937,,,,,,,,,,,,,,
2026-06-29 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,59929.770015000002,59840.010000000002,0.00055435873279358256,0.11274332008238729,,,,,,,,,,,,,,
2026-06-30 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,59400.226890000005,59311.260000000002,0.00055930074852490589,0.11330262083091219,,,,,,,,,,,,,,
2026-07-01 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,59062.450985000003,58973.989999999998,0.00056249936817833271,0.11386512019909052,,,,,,,,,,,,,,
2026-07-02 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,60602.768000000004,60512,0.00054820254022268822,0.11441332273931321,,,,,,,,,,,,,,
2026-07-03 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,61676.365985000004,61583.989999999998,0.00053866000098329629,0.1149519827402965,,,,,,,,,,,,,,
2026-07-04 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62647.610670000002,62553.779999999999,0.00053030899354052324,0.11548229173383702,,,,,,,,,,,,,,
2026-07-05 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63009.372500000005,62915,0.00052726427901065426,0.11600955601284767,,,,,,,,,,,,,,
2026-07-06 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62998.366015000007,62904.010000000002,0.00052735639769158288,0.11653691241053925,,,,,,,,,,,,,,
2026-07-07 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63198.656000000003,63104,0.00052568509308372391,0.11706259750362297,,,,,,,,,,,,,,
2026-07-08 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62111.387540000003,62018.360000000001,0.00053488728360368302,0.11759748478722665,,,,,,,,,,,,,,
2026-07-09 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62998.015490000005,62903.660000000003,0.00052735933193641372,0.11812484411916306,,,,,,,,,,,,,,
2026-07-10 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64342.369000000006,64246,0.00051634081676610701,0.11864118493592916,,,,,,,,,,,,,,
2026-07-11 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64362.378970000005,64265.980000000003,0.00051618028876172599,0.11915736522469089,,,,,,,,,,,,,,
2026-07-12 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64079.154770000001,63983.18,0.00051846176001185489,0.11967582698470275,,,,,,,,,,,,,,
2026-07-13 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,63301.790470000007,63206.980000000003,0.00052482862041431668,0.12020065560511707,,,,,,,,,,,,,,
2026-07-14 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62807.920774999999,62713.849999999999,0.00052895543989015686,0.12072961104500723,,,,,,,,,,,,,,
2026-07-15 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64865.152000000002,64768,0.00051217934958552543,0.12124179039459276,,,,,,,,,,,,,,
2026-07-16 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64223.050290000006,64126.860000000001,0.00051730011595695329,0.12175909051054971,,,,,,,,,,,,,,
2026-07-17 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,62982.342015000002,62888.010000000002,0.00052749056797878177,0.12228658107852849,,,,,,,,,,,,,,
2026-07-18 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64102.019015000005,64006.010000000002,0.00051827683234676413,0.12280485791087525,,,,,,,,,,,,,,
2026-07-19 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64804.541220000006,64707.480000000003,0.00051265838375957938,0.12331751629463483,,,,,,,,,,,,,,
2026-07-20 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,64146.075000000004,64050,0.00051792087609610165,0.12383543717073094,,,,,,,,,,,,,,
2026-07-21 09:00:00+00:00,daily_btc_dca_buy,33.222591362126245,0.049833887043189369,0,daily_btc_dca,BTC,66325.769644999993,66226.429999999993,0.00050090020123318309,0.12433633737196412,,,,,,,,,,,,,,
