signal_time,entry_time,exit_time,asset,funding_rate,mark_price,source_symbol
2021-05-03 08:00:00+00:00,2021-05-03 09:00:00+00:00,2021-05-03 17:00:00+00:00,DOGE,0.0010979799999999999,,DOGEUSDT
2021-05-06 16:00:00+00:00,2021-05-06 17:00:00+00:00,2021-05-07 01:00:00+00:00,XRP,0.0021528200000000002,,XRPUSDT
2021-05-08 08:00:00+00:00,2021-05-08 09:00:00+00:00,2021-05-08 17:00:00+00:00,XRP,0.0012420700000000001,,XRPUSDT
2021-05-09 16:00:00+00:00,2021-05-09 17:00:00+00:00,2021-05-10 01:00:00+00:00,AVAX,0.00089532000000000001,,AVAXUSDT
2021-05-11 08:00:00+00:00,2021-05-11 09:00:00+00:00,2021-05-11 17:00:00+00:00,BTC,0.00050874000000000004,,BTCUSDT
2021-05-16 00:00:00+00:00,2021-05-16 01:00:00+00:00,2021-05-16 09:00:00+00:00,XRP,0.00051723000000000003,,XRPUSDT
2021-05-17 16:00:00+00:00,2021-05-17 17:00:00+00:00,2021-05-18 01:00:00+00:00,XRP,0.00075754999999999996,,XRPUSDT
2021-08-08 00:00:00+00:00,2021-08-08 01:00:00+00:00,2021-08-08 09:00:00+00:00,DOGE,0.00065496,,DOGEUSDT
2021-08-11 16:00:00+00:00,2021-08-11 17:00:00+00:00,2021-08-12 01:00:00+00:00,DOGE,0.00079533000000000002,,DOGEUSDT
2021-08-14 08:00:00+00:00,2021-08-14 09:00:00+00:00,2021-08-14 17:00:00+00:00,DOGE,0.00064820000000000003,,DOGEUSDT
2021-08-20 00:00:00+00:00,2021-08-20 01:00:00+00:00,2021-08-20 09:00:00+00:00,ADA,0.00084537999999999996,,ADAUSDT
2021-08-21 16:00:00+00:00,2021-08-21 17:00:00+00:00,2021-08-22 01:00:00+00:00,AVAX,0.00072594999999999995,,AVAXUSDT
2021-08-24 16:00:00+00:00,2021-08-24 17:00:00+00:00,2021-08-25 01:00:00+00:00,ADA,0.00083064,,ADAUSDT
2021-08-28 08:00:00+00:00,2021-08-28 09:00:00+00:00,2021-08-28 17:00:00+00:00,XRP,0.00058104000000000001,,XRPUSDT
2021-08-30 16:00:00+00:00,2021-08-30 17:00:00+00:00,2021-08-31 01:00:00+00:00,AVAX,0.00072146000000000005,,AVAXUSDT
2021-09-01 00:00:00+00:00,2021-09-01 01:00:00+00:00,2021-09-01 09:00:00+00:00,SOL,0.00068753,,SOLUSDT
2021-09-03 08:00:00+00:00,2021-09-03 09:00:00+00:00,2021-09-03 17:00:00+00:00,AVAX,0.00128751,,AVAXUSDT
2021-09-05 16:00:00+00:00,2021-09-05 17:00:00+00:00,2021-09-06 01:00:00+00:00,AVAX,0.0014920300000000001,,AVAXUSDT
2021-10-07 16:00:00+00:00,2021-10-07 17:00:00+00:00,2021-10-08 01:00:00+00:00,ADA,0.00061777000000000002,,ADAUSDT
2021-10-10 00:00:00+00:00,2021-10-10 01:00:00+00:00,2021-10-10 09:00:00+00:00,XRP,0.00060032,,XRPUSDT
2021-10-16 08:00:00+00:00,2021-10-16 09:00:00+00:00,2021-10-16 17:00:00+00:00,DOGE,0.00078421999999999997,,DOGEUSDT
2021-10-21 00:00:00+00:00,2021-10-21 01:00:00+00:00,2021-10-21 09:00:00+00:00,BTC,0.00068926999999999997,,BTCUSDT
2021-10-26 16:00:00+00:00,2021-10-26 17:00:00+00:00,2021-10-27 01:00:00+00:00,AVAX,0.00093570000000000003,,AVAXUSDT
2021-11-03 08:00:00+00:00,2021-11-03 09:00:00+00:00,2021-11-03 17:00:00+00:00,XRP,0.00087480999999999995,,XRPUSDT
2021-11-05 00:00:00+00:00,2021-11-05 01:00:00+00:00,2021-11-05 09:00:00+00:00,DOGE,0.00050416999999999997,,DOGEUSDT
2021-11-08 08:00:00+00:00,2021-11-08 09:00:00+00:00,2021-11-08 17:00:00+00:00,LINK,0.00071025999999999999,,LINKUSDT
2021-11-10 00:00:00+00:00,2021-11-10 01:00:00+00:00,2021-11-10 09:00:00+00:00,DOGE,0.00062783000000000001,,DOGEUSDT
2021-11-25 16:00:00+00:00,2021-11-25 17:00:00+00:00,2021-11-26 01:00:00+00:00,BNB,0.00057618999999999997,,BNBUSDT
2023-11-09 16:00:00+00:00,2023-11-09 17:00:00+00:00,2023-11-10 01:00:00+00:00,ETH,0.00071131000000000005,2039.55,ETHUSDT
2023-11-12 00:00:00+00:00,2023-11-12 01:00:00+00:00,2023-11-12 09:00:00+00:00,SOL,0.00051278999999999995,56.408628559999997,SOLUSDT
2023-12-04 08:00:00+00:00,2023-12-04 09:00:00+00:00,2023-12-04 17:00:00+00:00,SOL,0.00053852999999999995,63.74940823,SOLUSDT
2023-12-08 00:00:00+00:00,2023-12-08 01:00:00+00:00,2023-12-08 09:00:00+00:00,SOL,0.00061268,67.798863229999995,SOLUSDT
2023-12-22 16:00:00+00:00,2023-12-22 17:00:00+00:00,2023-12-23 01:00:00+00:00,ETH,0.00051141000000000001,2321.73,ETHUSDT
2023-12-24 00:00:00+00:00,2023-12-24 01:00:00+00:00,2023-12-24 09:00:00+00:00,AVAX,0.00050432000000000005,48.108187049999998,AVAXUSDT
2023-12-25 16:00:00+00:00,2023-12-25 17:00:00+00:00,2023-12-26 01:00:00+00:00,SOL,0.00063964000000000002,123.182,SOLUSDT
2023-12-27 16:00:00+00:00,2023-12-27 17:00:00+00:00,2023-12-28 01:00:00+00:00,SOL,0.00067699000000000004,107.95565915,SOLUSDT
2023-12-29 08:00:00+00:00,2023-12-29 09:00:00+00:00,2023-12-29 17:00:00+00:00,XRP,0.00050166999999999996,0.62447299000000001,XRPUSDT
2024-01-01 16:00:00+00:00,2024-01-01 17:00:00+00:00,2024-01-02 01:00:00+00:00,AVAX,0.00058407000000000001,40.183,AVAXUSDT
2024-02-26 00:00:00+00:00,2024-02-26 01:00:00+00:00,2024-02-26 09:00:00+00:00,ETH,0.00059495999999999996,3115.0844186999998,ETHUSDT
2024-02-27 08:00:00+00:00,2024-02-27 09:00:00+00:00,2024-02-27 17:00:00+00:00,XRP,0.00075385000000000003,0.5524,XRPUSDT
2024-02-28 16:00:00+00:00,2024-02-28 17:00:00+00:00,2024-02-29 01:00:00+00:00,SOL,0.00078549000000000002,113.17211082,SOLUSDT
2024-03-01 00:00:00+00:00,2024-03-01 01:00:00+00:00,2024-03-01 09:00:00+00:00,DOGE,0.00069545000000000002,0.11738503,DOGEUSDT
2024-03-02 16:00:00+00:00,2024-03-02 17:00:00+00:00,2024-03-03 01:00:00+00:00,AVAX,0.00088170999999999996,42.244,AVAXUSDT
2024-03-04 00:00:00+00:00,2024-03-04 01:00:00+00:00,2024-03-04 09:00:00+00:00,DOGE,0.00072632999999999997,0.15368999999999999,DOGEUSDT
2024-03-05 08:00:00+00:00,2024-03-05 09:00:00+00:00,2024-03-05 17:00:00+00:00,AVAX,0.0014370100000000001,42.554000000000002,AVAXUSDT
2024-03-07 08:00:00+00:00,2024-03-07 09:00:00+00:00,2024-03-07 17:00:00+00:00,SOL,0.00054339000000000004,138.357,SOLUSDT
2024-03-08 16:00:00+00:00,2024-03-08 17:00:00+00:00,2024-03-09 01:00:00+00:00,AVAX,0.00068539999999999996,42.411999999999999,AVAXUSDT
2024-03-10 00:00:00+00:00,2024-03-10 01:00:00+00:00,2024-03-10 09:00:00+00:00,DOGE,0.00092314000000000003,0.17897525,DOGEUSDT
2024-03-11 08:00:00+00:00,2024-03-11 09:00:00+00:00,2024-03-11 17:00:00+00:00,BTC,0.00078428000000000005,71203.546344400005,BTCUSDT
2024-03-12 16:00:00+00:00,2024-03-12 17:00:00+00:00,2024-03-13 01:00:00+00:00,SOL,0.00055606999999999998,150.39890818999999,SOLUSDT
2024-03-14 08:00:00+00:00,2024-03-14 09:00:00+00:00,2024-03-14 17:00:00+00:00,DOGE,0.00081937999999999998,0.18642,DOGEUSDT
2024-03-16 08:00:00+00:00,2024-03-16 09:00:00+00:00,2024-03-16 17:00:00+00:00,AVAX,0.00053169000000000003,60.702075090000001,AVAXUSDT
2024-03-28 00:00:00+00:00,2024-03-28 01:00:00+00:00,2024-03-28 09:00:00+00:00,DOGE,0.00055772000000000005,0.19066702999999999,DOGEUSDT
2024-03-29 08:00:00+00:00,2024-03-29 09:00:00+00:00,2024-03-29 17:00:00+00:00,XRP,0.00054398999999999995,0.6109,XRPUSDT
2024-03-30 16:00:00+00:00,2024-03-30 17:00:00+00:00,2024-03-31 01:00:00+00:00,AVAX,0.00062463000000000004,53.771999999999998,AVAXUSDT
2024-04-01 00:00:00+00:00,2024-04-01 01:00:00+00:00,2024-04-01 09:00:00+00:00,AVAX,0.00083805999999999996,54.134,AVAXUSDT
2024-11-12 08:00:00+00:00,2024-11-12 09:00:00+00:00,2024-11-12 17:00:00+00:00,ETH,0.00057620000000000002,3371.2058560599999,ETHUSDT
2024-11-23 08:00:00+00:00,2024-11-23 09:00:00+00:00,2024-11-23 17:00:00+00:00,DOGE,0.00063330999999999999,0.46169419,DOGEUSDT
2024-12-03 00:00:00+00:00,2024-12-03 01:00:00+00:00,2024-12-03 09:00:00+00:00,LINK,0.00053972000000000004,25.234000000000002,LINKUSDT
2024-12-04 08:00:00+00:00,2024-12-04 09:00:00+00:00,2024-12-04 17:00:00+00:00,LINK,0.00056002999999999999,24.467914149999999,LINKUSDT
2024-12-05 16:00:00+00:00,2024-12-05 17:00:00+00:00,2024-12-06 01:00:00+00:00,XRP,0.00067031000000000002,2.3776000000000002,XRPUSDT
2024-12-07 00:00:00+00:00,2024-12-07 01:00:00+00:00,2024-12-07 09:00:00+00:00,LINK,0.00056539999999999997,25.888999999999999,LINKUSDT
